year,country,crop,quantity
2012,Slovakia,Fibre crops,0
2012,Slovakia,Tobacco,0
2012,Slovakia,Hops,0
2012,Slovakia,Other industrial crops including energy crops n.e.c.,0
2012,Slovakia,Nectarines,0
2012,Slovakia,Cultivated mushrooms,0
2012,Finland,Durum wheat,0
2012,Sweden,Durum wheat,0
2012,Sweden,Sugar beet (excluding seed),0
2012,Sweden,Soya,0
2012,Croatia,Apricots,1
2012,Croatia,Cherries,1
2012,Latvia,Linseed (oilflax),1
2012,Latvia,Fresh pulses,1
2012,Lithuania,Cherries,1
2012,Lithuania,Plums,1
2012,Slovenia,Linseed (oilflax),1
2012,Slovenia,Fresh pulses,1
2012,Slovenia,Plums,1
2012,Slovakia,Pears,1
2012,Czech Republic,Other fresh vegetables n.e.c.,2
2012,Croatia,Peaches,2
2012,Croatia,Cultivated mushrooms,2
2012,Italy,Hops,2
2012,Lithuania,Nuts,2
2012,Hungary,Tobacco,2
2012,Hungary,Cultivated mushrooms,2
2012,Slovenia,Vegetables cultivated for fruit (including melons),2
2012,Slovakia,Cherries,2
2012,Hungary,Nectarines,3
2012,Slovenia,Apricots,3
2012,Slovenia,Cherries,3
2012,Czech Republic,Hops,4
2012,Czech Republic,Fresh pulses,4
2012,Estonia,"Aromatic, medicinal and culinary plants",4
2012,Lithuania,Pears,4
2012,Slovenia,Berries (excluding strawberries),4
2012,Slovenia,Cultivated mushrooms,4
2012,Slovakia,Other permanent crops for human consumption n.e.c.,4
2012,Slovenia,Sunflower seed,5
2012,Slovakia,Apricots,5
2012,Latvia,Other industrial crops including energy crops n.e.c.,6
2012,Slovenia,Brassicas,6
2012,Slovenia,Nuts,6
2012,Croatia,Pears,7
2012,Croatia,Fruits from subtropical and tropical climate zones,7
2012,Slovenia,Pears,7
2012,Slovenia,Peaches,7
2012,Slovakia,Rape and turnip rape seeds,7
2012,Spain,Rape and turnip rape seeds,8
2012,Poland,Hops,8
2012,Slovakia,Peaches,8
2012,Czech Republic,Strawberries,9
2012,Croatia,Other oilseed crops n.e.c.,9
2012,Croatia,Strawberries,9
2012,Lithuania,Other oilseed crops n.e.c.,9
2012,Hungary,Strawberries,9
2012,Slovenia,Leafy and stalked vegetables (excluding brassicas),9
2012,Spain,Fibre crops,10
2012,Latvia,Leafy and stalked vegetables (excluding brassicas),10
2012,Slovenia,"Aromatic, medicinal and culinary plants",10
2012,Slovenia,"Root, tuber and bulb vegetables",10
2012,Slovenia,Fruits from subtropical and tropical climate zones,10
2012,Slovenia,Strawberries,11
2012,Poland,Sugar beet (excluding seed),12
2012,Poland,Grapes,12
2012,Estonia,Other industrial crops including energy crops n.e.c.,13
2012,Slovenia,Soya,13
2012,Lithuania,Sunflower seed,14
2012,Hungary,Sugar beet (excluding seed),14
2012,Poland,Apricots,14
2012,Czech Republic,Leafy and stalked vegetables (excluding brassicas),15
2012,Slovenia,Other industrial crops including energy crops n.e.c.,16
2012,Czech Republic,Rape and turnip rape seeds,17
2012,Latvia,Plums,17
2012,Poland,Soya,17
2012,Estonia,Brassicas,18
2012,Latvia,Cherries,18
2012,Slovakia,Other root crops n.e.c.,18
2012,Croatia,Other fresh vegetables n.e.c.,21
2012,Croatia,Other industrial crops including energy crops n.e.c.,23
2012,Croatia,Fresh pulses,24
2012,Lithuania,Strawberries,24
2012,Poland,Linseed (oilflax),24
2012,Estonia,Vegetables cultivated for fruit (including melons),28
2012,Croatia,Brassicas,28
2012,Latvia,"Aromatic, medicinal and culinary plants",28
2012,Czech Republic,Nuts,30
2012,Latvia,Pears,32
2012,Croatia,Plums,34
2012,Spain,Soya,35
2012,Slovakia,Plums,36
2012,Hungary,Peaches,38
2012,Croatia,Leafy and stalked vegetables (excluding brassicas),40
2012,Finland,Fresh pulses,40
2012,Estonia,Strawberries,42
2012,Czech Republic,Peaches,44
2012,Czech Republic,Sunflower seed,46
2012,Slovenia,Other oilseed crops n.e.c.,46
2012,Poland,Peaches,47
2012,Czech Republic,Soya,58
2012,Estonia,Other root crops n.e.c.,58
2012,Spain,Berries (excluding strawberries),62
2012,Estonia,"Root, tuber and bulb vegetables",64
2012,Netherlands,Rape and turnip rape seeds,68
2012,Czech Republic,Brassicas,71
2012,Hungary,Pears,73
2012,Latvia,Strawberries,75
2012,Latvia,Sugar beet (excluding seed),79
2012,Croatia,Root crops,85
2012,Croatia,Potatoes (including seed potatoes),85
2012,Slovenia,Rape and turnip rape seeds,93
2012,Czech Republic,Other industrial crops including energy crops n.e.c.,94
2012,Hungary,Apricots,94
2012,Slovakia,"Aromatic, medicinal and culinary plants",94
2012,Slovenia,Other root crops n.e.c.,96
2012,Slovenia,Olives,100
2012,Croatia,Nuts,103
2012,Poland,Nuts,110
2012,Slovakia,Other oilseed crops n.e.c.,110
2012,Poland,Sunflower seed,115
2012,Slovenia,Rye and winter cereal mixtures (maslin),120
2012,Hungary,Brassicas,123
2012,Finland,Fruits from temperate climate zones,124
2012,Finland,Pome fruits,124
2012,Finland,Apples,124
2012,Latvia,Brassicas,132
2012,Finland,Berries (excluding strawberries),133
2012,Estonia,Fruits from temperate climate zones,135
2012,Italy,Other oilseed crops n.e.c.,151
2012,Croatia,Olives,155
2012,Croatia,Vegetables cultivated for fruit (including melons),156
2012,Czech Republic,Other root crops n.e.c.,157
2012,Slovenia,Oilseeds,158
2012,Estonia,Berries (excluding strawberries),161
2012,Czech Republic,Cherries,165
2012,Slovenia,Industrial crops,184
2012,Luxembourg,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),186
2012,Hungary,Other root crops n.e.c.,187
2012,Latvia,Vegetables cultivated for fruit (including melons),188
2012,Hungary,Linseed (oilflax),188
2012,Slovakia,Soya,188
2012,Slovakia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),203
2012,Czech Republic,"Root, tuber and bulb vegetables",208
2012,Poland,Pears,212
2012,Czech Republic,Berries (excluding strawberries),218
2012,Italy,Fibre crops,218
2012,Croatia,Apples,232
2012,Czech Republic,Plums,237
2012,Finland,Strawberries,254
2012,Slovenia,Oats and spring cereal mixtures (mixed grain other than maslin),256
2012,Finland,Permanent crops for human consumption,257
2012,Slovenia,Apples,258
2012,Hungary,Rice,270
2012,Croatia,Fruits from temperate climate zones,279
2012,Spain,Other root crops n.e.c.,287
2012,Croatia,Rye and winter cereal mixtures (maslin),288
2012,Czech Republic,Durum wheat,293
2012,Lithuania,Other root crops n.e.c.,308
2012,Hungary,Plums,317
2012,Poland,Rape and turnip rape seeds,327
2012,Latvia,Berries (excluding strawberries),340
2012,Lithuania,Other fresh vegetables n.e.c.,358
2012,Hungary,Potatoes (including seed potatoes),359
2012,Latvia,"Root, tuber and bulb vegetables",373
2012,Italy,Sugar beet (excluding seed),374
2012,Poland,Cherries,376
2012,Spain,Cultivated mushrooms,394
2012,Finland,Brassicas,399
2012,Czech Republic,Sugar beet (excluding seed),404
2012,Czech Republic,Pears,409
2012,Slovenia,Barley,409
2012,Estonia,Other fresh vegetables n.e.c.,425
2012,Slovakia,Potatoes (including seed potatoes),429
2012,Spain,Other oilseed crops n.e.c.,431
2012,Poland,Other fresh vegetables n.e.c.,431
2012,Czech Republic,Apricots,432
2012,Latvia,Oilseeds,443
2012,Latvia,Rape and turnip rape seeds,443
2012,Hungary,"Root, tuber and bulb vegetables",443
2012,Croatia,Sunflower seed,450
2012,Hungary,Cherries,455
2012,Romania,Rye and winter cereal mixtures (maslin),468
2012,Latvia,Industrial crops,478
2012,Poland,Oilseeds,483
2012,Croatia,Other cereals (including triticale and sorghum),495
2012,Estonia,Fresh vegetables (including melons),535
2012,Hungary,Soya,543
2012,Croatia,"Root, tuber and bulb vegetables",558
2012,Hungary,Root crops,559
2012,Luxembourg,Other cereals (including triticale and sorghum),565
2012,Hungary,Leafy and stalked vegetables (excluding brassicas),570
2012,Slovenia,Grapes,571
2012,Czech Republic,Other oilseed crops n.e.c.,595
2012,Lithuania,Fresh vegetables (including melons),596
2012,Poland,"Aromatic, medicinal and culinary plants",604
2012,Lithuania,Fresh vegetables (including melons) and strawberries,621
2012,Hungary,Durum wheat,644
2012,Slovenia,Grain maize and corn-cob-mix,654
2012,Slovenia,Other fresh vegetables n.e.c.,673
2012,Croatia,Common wheat and spelt,684
2012,Italy,Cultivated mushrooms,701
2012,Slovenia,Fresh vegetables (including melons),702
2012,Latvia,Fresh vegetables (including melons),704
2012,Czech Republic,Oilseeds,722
2012,Croatia,Grapes,744
2012,Latvia,Apples,748
2012,Poland,Other root crops n.e.c.,748
2012,Hungary,Rye and winter cereal mixtures (maslin),758
2012,Luxembourg,Wheat and spelt,767
2012,Luxembourg,Common wheat and spelt,767
2012,Hungary,Nuts,774
2012,Slovenia,Other cereals (including triticale and sorghum),774
2012,Latvia,Fresh vegetables (including melons) and strawberries,779
2012,Lithuania,Soya,812
2012,Croatia,Oats and spring cereal mixtures (mixed grain other than maslin),813
2012,Croatia,Fresh vegetables (including melons),827
2012,Croatia,Barley,832
2012,Poland,Grain maize and corn-cob-mix,845
2012,Hungary,Other oilseed crops n.e.c.,847
2012,Latvia,Fruits from temperate climate zones,887
2012,Czech Republic,"Aromatic, medicinal and culinary plants",891
2012,Estonia,Other cereals (including triticale and sorghum),917
2012,Lithuania,"Aromatic, medicinal and culinary plants",922
2012,Hungary,Berries (excluding strawberries),945
2012,Czech Republic,Vegetables cultivated for fruit (including melons),972
2012,Spain,Cherries,997
2012,Slovenia,Potatoes (including seed potatoes),1018
2012,Croatia,Berries (excluding strawberries),1047
2012,Lithuania,Berries (excluding strawberries),1071
2012,Slovenia,Root crops,1115
2012,Poland,Plums,1139
2012,Slovenia,Fruits from temperate climate zones,1187
2012,Lithuania,Rape and turnip rape seeds,1193
2012,Hungary,Fresh pulses,1213
2012,Czech Republic,Fresh vegetables (including melons),1272
2012,Czech Republic,Fresh vegetables (including melons) and strawberries,1281
2012,Poland,Brassicas,1437
2012,Spain,Rice,1506
2012,Finland,Industrial crops,1680
2012,Finland,Oilseeds,1680
2012,Finland,Rape and turnip rape seeds,1680
2012,Estonia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),1707
2012,Italy,Berries (excluding strawberries),1711
2012,Czech Republic,Industrial crops,1712
2012,Spain,"Aromatic, medicinal and culinary plants",1727
2012,Czech Republic,Grapes,1738
2012,Latvia,Other root crops n.e.c.,1751
2012,Italy,Strawberries,1756
2012,Hungary,Rape and turnip rape seeds,1813
2012,Italy,Linseed (oilflax),1816
2012,Hungary,Barley,1870
2012,Italy,Rape and turnip rape seeds,1897
2012,Czech Republic,Apples,1955
2012,Estonia,Oilseeds,1972
2012,Estonia,Industrial crops,1989
2012,Romania,Apples,2091
2012,Luxembourg,Cereals for the production of grain (including seed),2116
2012,Luxembourg,Cereals (excluding rice) for the production of grain (including seed),2116
2012,Hungary,Grapes,2139
2012,Finland,"Root, tuber and bulb vegetables",2178
2012,Hungary,Vegetables cultivated for fruit (including melons),2221
2012,Estonia,Potatoes (including seed potatoes),2295
2012,Hungary,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),2306
2012,Spain,Strawberries,2315
2012,Estonia,Root crops,2353
2012,Spain,Potatoes (including seed potatoes),2392
2012,Netherlands,Rye and winter cereal mixtures (maslin),2415
2012,Spain,Pears,2417
2012,Romania,Oats and spring cereal mixtures (mixed grain other than maslin),2417
2012,Netherlands,Oats and spring cereal mixtures (mixed grain other than maslin),2435
2012,Poland,Other industrial crops including energy crops n.e.c.,2480
2012,Poland,Leafy and stalked vegetables (excluding brassicas),2596
2012,Germany (until 1990 former territory of the FRG),Berries (excluding strawberries),2606
2012,Finland,Fresh vegetables (including melons),2616
2012,Romania,Grapes,2665
2012,Spain,Root crops,2679
2012,Netherlands,Barley,2724
2012,Czech Republic,Grain maize and corn-cob-mix,2725
2012,Spain,Other industrial crops including energy crops n.e.c.,2781
2012,Slovenia,Cereals for the production of grain (including seed),2862
2012,Slovenia,Cereals (excluding rice) for the production of grain (including seed),2862
2012,Finland,Fresh vegetables (including melons) and strawberries,2870
2012,Netherlands,Other cereals (including triticale and sorghum),2944
2012,Lithuania,Industrial crops,2959
2012,Lithuania,Potatoes (including seed potatoes),2982
2012,Hungary,Oats and spring cereal mixtures (mixed grain other than maslin),2993
2012,Italy,Rye and winter cereal mixtures (maslin),3005
2012,Netherlands,Grain maize and corn-cob-mix,3080
2012,Slovakia,Rye and winter cereal mixtures (maslin),3110
2012,Spain,Grain maize and corn-cob-mix,3221
2012,Latvia,Other cereals (including triticale and sorghum),3233
2012,Czech Republic,Potatoes (including seed potatoes),3277
2012,Lithuania,Root crops,3290
2012,Czech Republic,Fruits from temperate climate zones,3378
2012,Slovakia,Sunflower seed,3463
2012,Slovakia,Oats and spring cereal mixtures (mixed grain other than maslin),3470
2012,Poland,Industrial crops,3574
2012,Lithuania,Apples,3655
2012,Italy,Other root crops n.e.c.,3705
2012,Poland,Fresh pulses,3761
2012,Spain,Nectarines,3780
2012,Poland,Strawberries,3809
2012,Czech Republic,Root crops,3838
2012,Czech Republic,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),3905
2012,Spain,Sunflower seed,3991
2012,Hungary,Apples,4007
2012,Poland,"Root, tuber and bulb vegetables",4086
2012,Estonia,Barley,4118
2012,Spain,Fresh pulses,4131
2012,Lithuania,Fruits from temperate climate zones,4276
2012,Finland,Root crops,4300
2012,Finland,Potatoes (including seed potatoes),4300
2012,Spain,Apples,4427
2012,Poland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),4433
2012,Slovakia,Other cereals (including triticale and sorghum),4455
2012,Spain,Oilseeds,4465
2012,Sweden,Rye and winter cereal mixtures (maslin),4500
2012,Spain,Peaches,4553
2012,Slovakia,Barley,4624
2012,Poland,Barley,4702
2012,Sweden,Rape and turnip rape seeds,4800
2012,Finland,Rye and winter cereal mixtures (maslin),5100
2012,Hungary,Sunflower seed,5113
2012,Czech Republic,Rye and winter cereal mixtures (maslin),5146
2012,Romania,Barley,5158
2012,Hungary,Fruits from temperate climate zones,5189
2012,Italy,Plums,5292
2012,Czech Republic,Barley,5312
2012,Romania,Rice,5314
2012,Slovakia,Grain maize and corn-cob-mix,5407
2012,Hungary,Other cereals (including triticale and sorghum),5482
2012,Hungary,Other fresh vegetables n.e.c.,5535
2012,Slovenia,Plants harvested green from arable land,5643
2012,Romania,Other cereals (including triticale and sorghum),5729
2012,Latvia,Barley,5763
2012,Lithuania,Barley,5867
2012,Estonia,Wheat and spelt,6077
2012,Estonia,Common wheat and spelt,6077
2012,Slovakia,Apples,6106
2012,Spain,Plums,6280
2012,Estonia,Rye and winter cereal mixtures (maslin),6420
2012,Latvia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),6623
2012,Finland,Barley,6640
2012,Latvia,Rye and winter cereal mixtures (maslin),6680
2012,Germany (until 1990 former territory of the FRG),Strawberries,6746
2012,Germany (until 1990 former territory of the FRG),Fresh pulses,7196
2012,Poland,Vegetables cultivated for fruit (including melons),7480
2012,Italy,Cherries,8123
2012,Hungary,Oilseeds,8504
2012,Hungary,Industrial crops,8506
2012,Germany (until 1990 former territory of the FRG),Other fresh vegetables n.e.c.,8615
2012,Spain,Industrial crops,8982
2012,Italy,Nectarines,9506
2012,Netherlands,Common wheat and spelt,9629
2012,Spain,Rye and winter cereal mixtures (maslin),9829
2012,Hungary,Fresh vegetables (including melons),10107
2012,Hungary,Fresh vegetables (including melons) and strawberries,10118
2012,Spain,Durum wheat,10225
2012,Czech Republic,Other cereals (including triticale and sorghum),10554
2012,Germany (until 1990 former territory of the FRG),Cultivated mushrooms,10878
2012,Hungary,Grain maize and corn-cob-mix,11064
2012,Poland,Wheat and spelt,11368
2012,Poland,Common wheat and spelt,11368
2012,Sweden,Potatoes (including seed potatoes),11800
2012,Spain,Fruits from subtropical and tropical climate zones,11826
2012,Latvia,Wheat and spelt,12758
2012,Latvia,Common wheat and spelt,12758
2012,Italy,Sunflower seed,13285
2012,Czech Republic,Oats and spring cereal mixtures (mixed grain other than maslin),13515
2012,Italy,Potatoes (including seed potatoes),13810
2012,Italy,Other industrial crops including energy crops n.e.c.,14084
2012,Spain,Other fresh vegetables n.e.c.,14208
2012,Finland,Wheat and spelt,15290
2012,Finland,Common wheat and spelt,15290
2012,Italy,Soya,15405
2012,Italy,Apricots,15786
2012,Croatia,Plants harvested green from arable land,15812
2012,Estonia,Oats and spring cereal mixtures (mixed grain other than maslin),16615
2012,Poland,Potatoes (including seed potatoes),16621
2012,Poland,Root crops,17380
2012,Poland,Apples,17774
2012,Italy,Root crops,17854
2012,Italy,Peaches,18220
2012,Spain,Brassicas,18226
2012,Spain,Other cereals (including triticale and sorghum),18251
2012,Latvia,Oats and spring cereal mixtures (mixed grain other than maslin),18820
2012,Lithuania,Oats and spring cereal mixtures (mixed grain other than maslin),19028
2012,Poland,Fresh vegetables (including melons),19792
2012,Latvia,Potatoes (including seed potatoes),19861
2012,Italy,Pears,19874
2012,Poland,Fruits from temperate climate zones,19882
2012,Italy,Other fresh vegetables n.e.c.,20471
2012,Poland,Oats and spring cereal mixtures (mixed grain other than maslin),20528
2012,Spain,Leafy and stalked vegetables (excluding brassicas),20762
2012,Slovakia,Common wheat and spelt,21286
2012,Sweden,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),21400
2012,Czech Republic,Common wheat and spelt,21429
2012,Finland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),21620
2012,Poland,Berries (excluding strawberries),21635
2012,Latvia,Root crops,21691
2012,Czech Republic,Wheat and spelt,21723
2012,Spain,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),22209
2012,Spain,"Root, tuber and bulb vegetables",22235
2012,Lithuania,Other cereals (including triticale and sorghum),22250
2012,Lithuania,Rye and winter cereal mixtures (maslin),22756
2012,Spain,Apricots,22801
2012,Sweden,Other cereals (including triticale and sorghum),23000
2012,Poland,Fresh vegetables (including melons) and strawberries,23601
2012,Lithuania,Wheat and spelt,23649
2012,Lithuania,Common wheat and spelt,23649
2012,Italy,"Aromatic, medicinal and culinary plants",25282
2012,Hungary,Plants harvested green from arable land,27446
2012,Croatia,"Aromatic, medicinal and culinary plants",27891
2012,Spain,Common wheat and spelt,27987
2012,Sweden,Barley,31000
2012,Hungary,Common wheat and spelt,31257
2012,Hungary,Wheat and spelt,31901
2012,Poland,Other cereals (including triticale and sorghum),32173
2012,Italy,Oilseeds,32368
2012,Poland,Rye and winter cereal mixtures (maslin),32839
2012,Italy,Apples,33068
2012,Germany (until 1990 former territory of the FRG),Leafy and stalked vegetables (excluding brassicas),33429
2012,Netherlands,Potatoes (including seed potatoes),34684
2012,Lithuania,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),37381
2012,Spain,Wheat and spelt,38213
2012,Finland,Oats and spring cereal mixtures (mixed grain other than maslin),38590
2012,Italy,Nuts,39573
2012,Estonia,Cereals for the production of grain (including seed),40224
2012,Romania,Grain maize and corn-cob-mix,40389
2012,Spain,Oats and spring cereal mixtures (mixed grain other than maslin),40465
2012,Italy,Fresh pulses,40970
2012,Germany (until 1990 former territory of the FRG),Grapes,41205
2012,Germany (until 1990 former territory of the FRG),Vegetables cultivated for fruit (including melons),42275
2012,Germany (until 1990 former territory of the FRG),Brassicas,42811
2012,Spain,Nuts,42861
2012,Italy,Rice,44256
2012,Latvia,Cereals for the production of grain (including seed),47255
2012,Latvia,Cereals (excluding rice) for the production of grain (including seed),47255
2012,Spain,Barley,49236
2012,Croatia,Soya,52915
2012,Italy,Fruits from subtropical and tropical climate zones,53699
2012,Hungary,Cereals (excluding rice) for the production of grain (including seed),54068
2012,Hungary,Cereals for the production of grain (including seed),54338
2012,Sweden,Oats and spring cereal mixtures (mixed grain other than maslin),58000
2012,Spain,Fruits from temperate climate zones,58248
2012,Czech Republic,Cereals for the production of grain (including seed),58975
2012,Czech Republic,Cereals (excluding rice) for the production of grain (including seed),58975
2012,Italy,Oats and spring cereal mixtures (mixed grain other than maslin),59232
2012,Czech Republic,Plants harvested green from arable land,61554
2012,Finland,Cereals for the production of grain (including seed),65620
2012,Finland,Cereals (excluding rice) for the production of grain (including seed),65620
2012,Italy,Grain maize and corn-cob-mix,71510
2012,Italy,Industrial crops,71853
2012,Italy,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),73919
2012,Romania,Wheat and spelt,74377
2012,Sweden,Wheat and spelt,77500
2012,Sweden,Common wheat and spelt,77500
2012,Italy,Other cereals (including triticale and sorghum),92987
2012,Lithuania,Cereals for the production of grain (including seed),93550
2012,Lithuania,Cereals (excluding rice) for the production of grain (including seed),93550
2012,Poland,Cereals for the production of grain (including seed),102455
2012,Poland,Cereals (excluding rice) for the production of grain (including seed),102455
2012,Spain,Vegetables cultivated for fruit (including melons),104882
2012,Italy,Brassicas,107434
2012,Spain,Citrus fruits,120810
2012,Germany (until 1990 former territory of the FRG),"Root, tuber and bulb vegetables",128812
2012,Croatia,Grain maize and corn-cob-mix,131909
2012,Latvia,Plants harvested green from arable land,132484
2012,Italy,Common wheat and spelt,134500
2012,Italy,Fruits from temperate climate zones,143077
2012,Spain,Olives,144733
2012,Spain,Cereals (excluding rice) for the production of grain (including seed),159214
2012,Spain,Cereals for the production of grain (including seed),160721
2012,Italy,Barley,167750
2012,Spain,Fresh vegetables (including melons),184444
2012,Sweden,Cereals for the production of grain (including seed),194000
2012,Sweden,Cereals (excluding rice) for the production of grain (including seed),194000
2012,Croatia,Oilseeds,225562
2012,Spain,Plants harvested green from arable land,232350
2012,Germany (until 1990 former territory of the FRG),Fresh vegetables (including melons),263140
2012,Spain,Grapes,263354
2012,Italy,Leafy and stalked vegetables (excluding brassicas),274772
2012,Italy,Durum wheat,292586
2012,Poland,Plants harvested green from arable land,390012
2012,Italy,Wheat and spelt,426164
2012,Italy,Grapes,462117
2012,Italy,Citrus fruits,478290
2012,Italy,Vegetables cultivated for fruit (including melons),697446
2012,Italy,Cereals (excluding rice) for the production of grain (including seed),819042
2012,Italy,Cereals for the production of grain (including seed),863298
2012,Sweden,Plants harvested green from arable land,905000
2012,Italy,Fresh vegetables (including melons),1464284
2012,Italy,Fresh vegetables (including melons) and strawberries,1466741
2012,Italy,Plants harvested green from arable land,1802937
2012,Bulgaria,Cereals for the production of grain (including seed),
2012,Bulgaria,Cereals (excluding rice) for the production of grain (including seed),
2012,Bulgaria,Wheat and spelt,
2012,Bulgaria,Common wheat and spelt,
2012,Bulgaria,Durum wheat,
2012,Bulgaria,Rye and winter cereal mixtures (maslin),
2012,Bulgaria,Barley,
2012,Bulgaria,Oats and spring cereal mixtures (mixed grain other than maslin),
2012,Bulgaria,Grain maize and corn-cob-mix,
2012,Bulgaria,Other cereals (including triticale and sorghum),
2012,Bulgaria,Rice,
2012,Bulgaria,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),
2012,Bulgaria,Root crops,
2012,Bulgaria,Potatoes (including seed potatoes),
2012,Bulgaria,Sugar beet (excluding seed),
2012,Bulgaria,Other root crops n.e.c.,
2012,Bulgaria,Industrial crops,
2012,Bulgaria,Oilseeds,
2012,Bulgaria,Rape and turnip rape seeds,
2012,Bulgaria,Sunflower seed,
2012,Bulgaria,Soya,
2012,Bulgaria,Linseed (oilflax),
2012,Bulgaria,Cotton seed,
2012,Bulgaria,Other oilseed crops n.e.c.,
2012,Bulgaria,Fibre crops,
2012,Bulgaria,Tobacco,
2012,Bulgaria,Hops,
2012,Bulgaria,"Aromatic, medicinal and culinary plants",
2012,Bulgaria,Other industrial crops including energy crops n.e.c.,
2012,Bulgaria,Plants harvested green from arable land,
2012,Bulgaria,Fresh vegetables (including melons) and strawberries,
2012,Bulgaria,Fresh vegetables (including melons),
2012,Bulgaria,Brassicas,
2012,Bulgaria,Leafy and stalked vegetables (excluding brassicas),
2012,Bulgaria,Vegetables cultivated for fruit (including melons),
2012,Bulgaria,"Root, tuber and bulb vegetables",
2012,Bulgaria,Fresh pulses,
2012,Bulgaria,Other fresh vegetables n.e.c.,
2012,Bulgaria,Strawberries,
2012,Bulgaria,Permanent crops for human consumption,
