country,year,workforce_type,workforce_size,population
Greece,2007,pers: Family labour force,1478590,10919459
Hungary,2007,pers: Female: Sole holders working on the farm,144350,9821318
Hungary,2007,AWU: Sole holders,195410,9821318
Hungary,2007,pers: Male: Sole holders working on the farm,474140,9821318
Hungary,2007,pers: Sole holders working on the farm,618490,9821318
Hungary,2007,pers: Family labour force,1171340,9821318
Ireland,2007,pers: Female: Sole holders working on the farm,12880,4713993
Ireland,2007,AWU: Sole holders,95700,4713993
Ireland,2007,pers: Male: Sole holders working on the farm,113770,4713993
Ireland,2007,pers: Sole holders working on the farm,126650,4713993
Ireland,2007,pers: Family labour force,227610,4713993
Italy,2007,pers: Female: Sole holders working on the farm,535620,59801004
Italy,2007,AWU: Sole holders,662590,59801004
Italy,2007,pers: Male: Sole holders working on the farm,1127890,59801004
Italy,2007,pers: Sole holders working on the farm,1663510,59801004
Italy,2007,pers: Family labour force,3056540,59801004
Latvia,2007,pers: Female: Sole holders working on the farm,49950,1955742
Latvia,2007,AWU: Sole holders,50410,1955742
Latvia,2007,pers: Male: Sole holders working on the farm,56430,1955742
Latvia,2007,pers: Sole holders working on the farm,106380,1955742
Latvia,2007,pers: Family labour force,195090,1955742
Lithuania,2007,AWU: Sole holders,81470,2850030
Lithuania,2007,pers: Female: Sole holders working on the farm,104730,2850030
Lithuania,2007,pers: Male: Sole holders working on the farm,122180,2850030
Lithuania,2007,pers: Sole holders working on the farm,226910,2850030
Lithuania,2007,pers: Family labour force,449770,2850030
Luxembourg,2007,pers: Female: Sole holders working on the farm,450,576243
Luxembourg,2007,AWU: Sole holders,1720,576243
Luxembourg,2007,pers: Male: Sole holders working on the farm,1750,576243
Luxembourg,2007,pers: Sole holders working on the farm,2200,576243
Luxembourg,2007,pers: Family labour force,4690,576243
Malta,2007,pers: Female: Sole holders working on the farm,1020,419615
Malta,2007,AWU: Sole holders,2660,419615
Malta,2007,pers: Male: Sole holders working on the farm,9550,419615
Malta,2007,pers: Sole holders working on the farm,10570,419615
Malta,2007,pers: Family labour force,16490,419615
Netherlands,2007,pers: Female: Sole holders working on the farm,3930,16979729
Netherlands,2007,AWU: Sole holders,58700,16979729
Netherlands,2007,pers: Male: Sole holders working on the farm,68830,16979729
Netherlands,2007,pers: Sole holders working on the farm,72760,16979729
Netherlands,2007,pers: Family labour force,150170,16979729
Poland,2007,pers: Female: Sole holders working on the farm,779480,38593161
Poland,2007,AWU: Sole holders,1099410,38593161
Poland,2007,pers: Male: Sole holders working on the farm,1592630,38593161
Poland,2007,pers: Sole holders working on the farm,2372110,38593161
Poland,2007,pers: Family labour force,4964600,38593161
Portugal,2007,pers: Female: Sole holders working on the farm,71210,10304434
Portugal,2007,AWU: Sole holders,148680,10304434
Portugal,2007,pers: Male: Sole holders working on the farm,197350,10304434
Portugal,2007,pers: Sole holders working on the farm,268570,10304434
Portugal,2007,pers: Family labour force,636150,10304434
Romania,2007,AWU: Sole holders,1135250,19372734
Romania,2007,pers: Female: Sole holders working on the farm,1172910,19372734
Romania,2007,pers: Male: Sole holders working on the farm,2740740,19372734
Romania,2007,pers: Sole holders working on the farm,3913650,19372734
Romania,2007,pers: Family labour force,6395790,19372734
Slovakia,2007,pers: Female: Sole holders working on the farm,12480,5429418
Slovakia,2007,AWU: Sole holders,22720,5429418
Slovakia,2007,pers: Male: Sole holders working on the farm,54470,5429418
Slovakia,2007,pers: Sole holders working on the farm,66950,5429418
Slovakia,2007,pers: Family labour force,156640,5429418
Slovenia,2007,pers: Female: Sole holders working on the farm,19760,2069362
Slovenia,2007,AWU: Sole holders,36820,2069362
Slovenia,2007,pers: Male: Sole holders working on the farm,55450,2069362
Slovenia,2007,pers: Sole holders working on the farm,75210,2069362
Slovenia,2007,pers: Family labour force,197490,2069362
Spain,2007,pers: Female: Sole holders working on the farm,230830,46064604
Spain,2007,AWU: Sole holders,385100,46064604
Spain,2007,pers: Male: Sole holders working on the farm,682890,46064604
Spain,2007,pers: Sole holders working on the farm,913720,46064604
Spain,2007,pers: Family labour force,1840750,46064604
Sweden,2007,pers: Female: Sole holders working on the farm,10030,9851852
Sweden,2007,AWU: Sole holders,31860,9851852
Sweden,2007,pers: Male: Sole holders working on the farm,57590,9851852
Sweden,2007,pers: Sole holders working on the farm,67620,9851852
Sweden,2007,pers: Family labour force,128530,9851852
United Kingdom,2007,pers: Female: Sole holders working on the farm,31840,65111143
United Kingdom,2007,AWU: Sole holders,121170,65111143
United Kingdom,2007,pers: Male: Sole holders working on the farm,178070,65111143
United Kingdom,2007,pers: Sole holders working on the farm,209910,65111143
United Kingdom,2007,pers: Family labour force,399670,65111143
Austria,2010,pers: Female: Sole holders working on the farm,46330,8569633
Austria,2010,AWU: Sole holders,65410,8569633
Austria,2010,pers: Male: Sole holders working on the farm,98440,8569633
Austria,2010,pers: Sole holders working on the farm,144770,8569633
Austria,2010,pers: Family labour force,319180,8569633
Belgium,2010,pers: Female: Sole holders working on the farm,5680,11371928
Belgium,2010,AWU: Sole holders,30860,11371928
Belgium,2010,pers: Male: Sole holders working on the farm,32910,11371928
Belgium,2010,pers: Sole holders working on the farm,38580,11371928
Belgium,2010,pers: Family labour force,66510,11371928
Bulgaria,2010,pers: Female: Sole holders working on the farm,83430,7097796
Bulgaria,2010,AWU: Sole holders,196010,7097796
Bulgaria,2010,pers: Male: Sole holders working on the farm,281560,7097796
Bulgaria,2010,pers: Sole holders working on the farm,364990,7097796
Bulgaria,2010,pers: Family labour force,681470,7097796
Croatia,2010,pers: Female: Sole holders working on the farm,50730,4225001
Croatia,2010,AWU: Sole holders,85590,4225001
Croatia,2010,pers: Male: Sole holders working on the farm,175430,4225001
Croatia,2010,pers: Sole holders working on the farm,226160,4225001
Croatia,2010,pers: Family labour force,499350,4225001
Cyprus,2010,AWU: Sole holders,8190,1176598
Cyprus,2010,pers: Female: Sole holders working on the farm,10210,1176598
Cyprus,2010,pers: Male: Sole holders working on the farm,28180,1176598
Cyprus,2010,pers: Sole holders working on the farm,38390,1176598
Cyprus,2010,pers: Family labour force,77730,1176598
Czech Republic,2010,pers: Female: Sole holders working on the farm,3210,10548058
Czech Republic,2010,AWU: Sole holders,14220,10548058
Czech Republic,2010,pers: Male: Sole holders working on the farm,16550,10548058
Czech Republic,2010,pers: Sole holders working on the farm,19760,10548058
Czech Republic,2010,pers: Family labour force,42970,10548058
Denmark,2010,pers: Female: Sole holders working on the farm,3680,5690750
Denmark,2010,AWU: Sole holders,22870,5690750
Denmark,2010,pers: Male: Sole holders working on the farm,36230,5690750
Denmark,2010,pers: Sole holders working on the farm,39910,5690750
Denmark,2010,pers: Family labour force,56870,5690750
Estonia,2010,pers: Female: Sole holders working on the farm,6800,1309104
Estonia,2010,AWU: Sole holders,7250,1309104
Estonia,2010,pers: Male: Sole holders working on the farm,10810,1309104
Estonia,2010,pers: Sole holders working on the farm,17610,1309104
Estonia,2010,pers: Family labour force,39420,1309104
Finland,2010,pers: Female: Sole holders working on the farm,7120,5523904
Finland,2010,AWU: Sole holders,32360,5523904
Finland,2010,pers: Male: Sole holders working on the farm,55340,5523904
Finland,2010,pers: Sole holders working on the farm,62460,5523904
Finland,2010,pers: Family labour force,111170,5523904
France,2010,pers: Female: Sole holders working on the farm,98210,64668129
France,2010,AWU: Sole holders,272050,64668129
France,2010,pers: Male: Sole holders working on the farm,304180,64668129
France,2010,pers: Sole holders working on the farm,402390,64668129
France,2010,pers: Family labour force,568350,64668129
Germany,2010,pers: Female: Sole holders working on the farm,26680,80682351
Germany,2010,AWU: Sole holders,204720,80682351
Germany,2010,pers: Male: Sole holders working on the farm,267390,80682351
Germany,2010,pers: Sole holders working on the farm,294070,80682351
Germany,2010,pers: Family labour force,577390,80682351
Greece,2010,AWU: Sole holders,232440,10919459
Greece,2010,pers: Female: Sole holders working on the farm,237940,10919459
Greece,2010,pers: Male: Sole holders working on the farm,484470,10919459
Greece,2010,pers: Sole holders working on the farm,722400,10919459
Greece,2010,pers: Family labour force,1186510,10919459
Hungary,2010,pers: Female: Sole holders working on the farm,149880,9821318
Hungary,2010,AWU: Sole holders,202630,9821318
Hungary,2010,pers: Male: Sole holders working on the farm,417440,9821318
Hungary,2010,pers: Sole holders working on the farm,567320,9821318
Hungary,2010,pers: Family labour force,1052820,9821318
Ireland,2010,pers: Female: Sole holders working on the farm,17350,4713993
Ireland,2010,AWU: Sole holders,102610,4713993
Ireland,2010,pers: Male: Sole holders working on the farm,122210,4713993
Ireland,2010,pers: Sole holders working on the farm,139560,4713993
Ireland,2010,pers: Family labour force,255640,4713993
Italy,2010,AWU: Sole holders,492610,59801004
Italy,2010,pers: Female: Sole holders working on the farm,531850,59801004
Italy,2010,pers: Male: Sole holders working on the farm,1071850,59801004
Italy,2010,pers: Sole holders working on the farm,1603700,59801004
Italy,2010,pers: Family labour force,3229560,59801004
Latvia,2010,pers: Female: Sole holders working on the farm,38810,1955742
Latvia,2010,AWU: Sole holders,39060,1955742
Latvia,2010,pers: Male: Sole holders working on the farm,44080,1955742
Latvia,2010,pers: Sole holders working on the farm,82900,1955742
Latvia,2010,pers: Family labour force,163560,1955742
Lithuania,2010,AWU: Sole holders,72370,2850030
Lithuania,2010,pers: Female: Sole holders working on the farm,94980,2850030
Lithuania,2010,pers: Male: Sole holders working on the farm,101700,2850030
Lithuania,2010,pers: Sole holders working on the farm,196670,2850030
Lithuania,2010,pers: Family labour force,338170,2850030
Luxembourg,2010,pers: Female: Sole holders working on the farm,440,576243
Luxembourg,2010,pers: Male: Sole holders working on the farm,1670,576243
Luxembourg,2010,AWU: Sole holders,1680,576243
Luxembourg,2010,pers: Sole holders working on the farm,2120,576243
Luxembourg,2010,pers: Family labour force,4090,576243
Malta,2010,pers: Female: Sole holders working on the farm,1470,419615
Malta,2010,AWU: Sole holders,3380,419615
Malta,2010,pers: Male: Sole holders working on the farm,10640,419615
Malta,2010,pers: Sole holders working on the farm,12110,419615
Malta,2010,pers: Family labour force,17630,419615
Netherlands,2010,pers: Female: Sole holders working on the farm,3890,16979729
Netherlands,2010,AWU: Sole holders,54140,16979729
Netherlands,2010,pers: Male: Sole holders working on the farm,64060,16979729
Netherlands,2010,pers: Sole holders working on the farm,67960,16979729
Netherlands,2010,pers: Family labour force,147920,16979729
Poland,2010,pers: Female: Sole holders working on the farm,458640,38593161
Poland,2010,AWU: Sole holders,881490,38593161
Poland,2010,pers: Male: Sole holders working on the farm,1023940,38593161
Poland,2010,pers: Sole holders working on the farm,1482590,38593161
Poland,2010,pers: Family labour force,3716120,38593161
Portugal,2010,pers: Female: Sole holders working on the farm,92870,10304434
Portugal,2010,AWU: Sole holders,160350,10304434
Portugal,2010,pers: Male: Sole holders working on the farm,204510,10304434
Portugal,2010,pers: Sole holders working on the farm,297380,10304434
Portugal,2010,pers: Family labour force,657830,10304434
Romania,2010,AWU: Sole holders,793620,19372734
Romania,2010,pers: Female: Sole holders working on the farm,1248330,19372734
Romania,2010,pers: Male: Sole holders working on the farm,2580010,19372734
Romania,2010,pers: Sole holders working on the farm,3828350,19372734
Romania,2010,pers: Family labour force,7051300,19372734
Slovakia,2010,pers: Female: Sole holders working on the farm,3900,5429418
Slovakia,2010,AWU: Sole holders,9940,5429418
Slovakia,2010,pers: Male: Sole holders working on the farm,18290,5429418
Slovakia,2010,pers: Sole holders working on the farm,22190,5429418
Slovakia,2010,pers: Family labour force,46060,5429418
Slovenia,2010,pers: Female: Sole holders working on the farm,19070,2069362
Slovenia,2010,AWU: Sole holders,33340,2069362
Slovenia,2010,pers: Male: Sole holders working on the farm,52140,2069362
Slovenia,2010,pers: Sole holders working on the farm,71210,2069362
Slovenia,2010,pers: Family labour force,205240,2069362
Spain,2010,pers: Female: Sole holders working on the farm,240400,46064604
Spain,2010,AWU: Sole holders,330910,46064604
Spain,2010,pers: Male: Sole holders working on the farm,621450,46064604
Spain,2010,pers: Sole holders working on the farm,861850,46064604
Spain,2010,pers: Family labour force,1951760,46064604
Sweden,2010,pers: Female: Sole holders working on the farm,10140,9851852
Sweden,2010,AWU: Sole holders,24180,9851852
Sweden,2010,pers: Male: Sole holders working on the farm,55720,9851852
Sweden,2010,pers: Sole holders working on the farm,65850,9851852
Sweden,2010,pers: Family labour force,119830,9851852
United Kingdom,2010,pers: Female: Sole holders working on the farm,23250,65111143
United Kingdom,2010,AWU: Sole holders,111040,65111143
United Kingdom,2010,pers: Male: Sole holders working on the farm,153240,65111143
United Kingdom,2010,pers: Sole holders working on the farm,176490,65111143
United Kingdom,2010,pers: Family labour force,319060,65111143
Austria,2013,pers: Female: Sole holders working on the farm,42510,8569633
Austria,2013,AWU: Sole holders,63010,8569633
Austria,2013,pers: Male: Sole holders working on the farm,92380,8569633
Austria,2013,pers: Sole holders working on the farm,134890,8569633
Austria,2013,pers: Family labour force,308670,8569633
Belgium,2013,pers: Female: Sole holders working on the farm,4920,11371928
Belgium,2013,AWU: Sole holders,26550,11371928
Belgium,2013,pers: Male: Sole holders working on the farm,27810,11371928
Belgium,2013,pers: Sole holders working on the farm,32730,11371928
Belgium,2013,pers: Family labour force,59290,11371928
Bulgaria,2013,pers: Female: Sole holders working on the farm,55790,7097796
Bulgaria,2013,AWU: Sole holders,136260,7097796
Bulgaria,2013,pers: Male: Sole holders working on the farm,192090,7097796
Bulgaria,2013,pers: Sole holders working on the farm,247880,7097796
Bulgaria,2013,pers: Family labour force,499690,7097796
Croatia,2013,pers: Female: Sole holders working on the farm,42290,4225001
Croatia,2013,AWU: Sole holders,74390,4225001
Croatia,2013,pers: Male: Sole holders working on the farm,109210,4225001
Croatia,2013,pers: Sole holders working on the farm,151490,4225001
Croatia,2013,pers: Family labour force,374910,4225001
Cyprus,2013,AWU: Sole holders,7390,1176598
Cyprus,2013,pers: Female: Sole holders working on the farm,9290,1176598
Cyprus,2013,pers: Male: Sole holders working on the farm,25630,1176598
Cyprus,2013,pers: Sole holders working on the farm,34920,1176598
Cyprus,2013,pers: Family labour force,73090,1176598
Czech Republic,2013,pers: Female: Sole holders working on the farm,2890,10548058
Czech Republic,2013,AWU: Sole holders,16530,10548058
Czech Republic,2013,pers: Male: Sole holders working on the farm,20460,10548058
Czech Republic,2013,pers: Sole holders working on the farm,23350,10548058
Czech Republic,2013,pers: Family labour force,49420,10548058
Denmark,2013,pers: Female: Sole holders working on the farm,2940,5690750
Denmark,2013,AWU: Sole holders,20620,5690750
Denmark,2013,pers: Male: Sole holders working on the farm,33900,5690750
Denmark,2013,pers: Sole holders working on the farm,36840,5690750
Denmark,2013,pers: Family labour force,54290,5690750
Estonia,2013,AWU: Sole holders,5960,1309104
Estonia,2013,pers: Female: Sole holders working on the farm,6360,1309104
Estonia,2013,pers: Male: Sole holders working on the farm,9900,1309104
Estonia,2013,pers: Sole holders working on the farm,16260,1309104
Estonia,2013,pers: Family labour force,30900,1309104
Finland,2013,pers: Female: Sole holders working on the farm,5510,5523904
Finland,2013,AWU: Sole holders,28410,5523904
Finland,2013,pers: Male: Sole holders working on the farm,47140,5523904
Finland,2013,pers: Sole holders working on the farm,52650,5523904
Finland,2013,pers: Family labour force,101030,5523904
France,2013,pers: Female: Sole holders working on the farm,82690,64668129
France,2013,AWU: Sole holders,241810,64668129
France,2013,pers: Male: Sole holders working on the farm,270920,64668129
France,2013,pers: Sole holders working on the farm,353610,64668129
France,2013,pers: Family labour force,491050,64668129
Germany,2013,pers: Female: Sole holders working on the farm,25460,80682351
Germany,2013,AWU: Sole holders,194490,80682351
Romania,2013,pers: Family labour force,6488130,19372734
Germany,2013,pers: Male: Sole holders working on the farm,254300,80682351
Germany,2013,pers: Sole holders working on the farm,279760,80682351
Germany,2013,pers: Family labour force,529290,80682351
Greece,2013,pers: Female: Sole holders working on the farm,238960,10919459
Greece,2013,AWU: Sole holders,250630,10919459
Greece,2013,pers: Male: Sole holders working on the farm,469750,10919459
Greece,2013,pers: Sole holders working on the farm,708700,10919459
Greece,2013,pers: Family labour force,1213420,10919459
Hungary,2013,pers: Female: Sole holders working on the farm,129590,9821318
Hungary,2013,AWU: Sole holders,188160,9821318
Hungary,2013,pers: Male: Sole holders working on the farm,352720,9821318
Hungary,2013,pers: Sole holders working on the farm,482310,9821318
Hungary,2013,pers: Family labour force,962570,9821318
Ireland,2013,pers: Female: Sole holders working on the farm,16210,4713993
Ireland,2013,AWU: Sole holders,102580,4713993
Ireland,2013,pers: Male: Sole holders working on the farm,122890,4713993
Ireland,2013,pers: Sole holders working on the farm,139100,4713993
Ireland,2013,pers: Family labour force,252270,4713993
