year,country,quantity
2002,Poland,32709
2002,Portugal,8288
2002,Romania,9248
2002,Serbia,
2002,Slovakia,829
2002,Slovenia,1289
2002,Spain,258522
2002,Sweden,5618
2002,Switzerland,1135
2002,Turkey,61165
2002,United Kingdom,179036
2003,Albania,1473
2003,Austria,2233
2003,Belgium,1261
2003,Bosnia and Herzegovina,6635
2003,Bulgaria,4465
2003,Croatia,8387
2003,Cyprus,1821
2003,Czech Republic,19670
2003,Denmark,37772
2003,Estonia,372
2003,Faeroe Islands (DK),62746
2003,Finland,12558
2003,France,239620
2003,Germany,74280
2003,Greece,101434
2003,Guernsey and Jersey (Channel Islands),684
2003,Hungary,11870
2003,Iceland,6214
2003,Ireland,62516
2003,Italy,191884
2003,Latvia,637
2003,Lithuania,2356
2003,Malta,887
2003,Montenegro,
2003,Netherlands,66540
2003,Norway,584423
2003,Poland,35436
2003,Portugal,8033
2003,Romania,9042
2003,Serbia,
2003,Slovakia,881
2003,Slovenia,1353
2003,Spain,271741
2003,Sweden,6334
2003,Switzerland,1100
2003,Turkey,79943
2003,United Kingdom,181838
2004,Albania,1569
2004,Austria,2267
2004,Belgium,739
2004,Bosnia and Herzegovina,6394
2004,Bulgaria,2489
2004,Croatia,10367
2004,Cyprus,2175
2004,Czech Republic,19384
2004,Denmark,42814
2004,Estonia,252
2004,Faeroe Islands (DK),46077
2004,Finland,12821
2004,France,242671
2004,Germany,57233
2004,Greece,97143
2004,Guernsey and Jersey (Channel Islands),775
2004,Hungary,12744
2004,Iceland,9003
2004,Ireland,58359
2004,Italy,118217
2004,Latvia,545
2004,Lithuania,2697
2004,Malta,868
2004,Montenegro,
2004,Netherlands,78598
2004,Norway,636802
2004,Poland,35131
2004,Portugal,6700
2004,Romania,8137
2004,Serbia,
2004,Slovakia,1180
2004,Slovenia,1571
2004,Spain,297204
2004,Sweden,5989
2004,Switzerland,1205
2004,Turkey,94450
2004,United Kingdom,207203
2005,Albania,1473
2005,Austria,2420
2005,Belgium,414
2005,Bosnia and Herzegovina,7070
2005,Bulgaria,3145
2005,Croatia,11104
2005,Cyprus,2387
2005,Czech Republic,20455
2005,Denmark,39012
2005,Estonia,555
2005,Faeroe Islands (DK),23455
2005,Finland,14355
2005,France,245160
2005,Germany,44685
2005,Greece,106268
2005,Guernsey and Jersey (Channel Islands),650
2005,Hungary,13661
2005,Iceland,8325
2005,Ireland,60050
2005,Italy,181101
2005,Latvia,542
2005,Lithuania,2013
2005,Malta,5126
2005,Montenegro,
2005,Netherlands,71370
2005,Norway,661811
2005,Poland,37920
2005,Portugal,6696
2005,Romania,7284
2005,Serbia,
2005,Slovakia,955
2005,Slovenia,1346
2005,Spain,221271
2005,Sweden,5880
2005,Switzerland,1214
2005,Turkey,119567
2005,United Kingdom,172813
2006,Albania,1970
2006,Austria,2503
2006,Belgium,188
2006,Bosnia and Herzegovina,7621
2006,Bulgaria,3257
2006,Croatia,13556
2006,Cyprus,3607
2006,Czech Republic,20431
2006,Denmark,27906
2006,Estonia,703
2006,Faeroe Islands (DK),18574
2006,Finland,12891
2006,France,238400
2006,Germany,37681
2006,Greece,113307
2006,Guernsey and Jersey (Channel Islands),
2006,Hungary,14686
2006,Iceland,8801
2006,Ireland,53122
2006,Italy,173579
2006,Latvia,567
2006,Lithuania,2224
2006,Malta,7165
2006,Montenegro,11
2006,Netherlands,42200
2006,Norway,708803
2006,Poland,35867
2006,Portugal,7894
2006,Romania,9109
2006,Serbia,4904
2006,Slovakia,1264
2006,Slovenia,1367
2006,Spain,294048
2006,Sweden,7549
2006,Switzerland,1214
2006,Turkey,129025
2006,United Kingdom,171847
2007,Albania,2008
2007,Austria,2539
2007,Belgium,188
2007,Bosnia and Herzegovina,7620
2007,Bulgaria,4433
2007,Croatia,12884
2007,Cyprus,3200
2007,Czech Republic,20447
2007,Denmark,31369
2007,Estonia,779
2007,Faeroe Islands (DK),29954
2007,Finland,13031
2007,France,237663
2007,Germany,44999
2007,Greece,113259
2007,Guernsey and Jersey (Channel Islands),
2007,Hungary,15922
2007,Iceland,4823
2007,Ireland,52504
2007,Italy,180991
2007,Latvia,728
2007,Lithuania,3377
2007,Malta,8598
2007,Montenegro,11
2007,Netherlands,53371
2007,Norway,830190
2007,Poland,34928
2007,Portugal,7473
2007,Romania,10314
2007,Serbia,6528
2007,Slovakia,1199
2007,Slovenia,1354
2007,Spain,283747
2007,Sweden,5365
2007,Switzerland,1217
2007,Turkey,140021
2007,United Kingdom,174200
