year,country,source_of_gas,emission_quantity
2005,Germany,Enteric fermentation,24.9222
2005,United Kingdom,Enteric fermentation,25.00086
2005,Poland,Agriculture,29.32212
2005,Hungary,Livestock,3.08948
2005,Sweden,Managed agricultural soils,3.20276
2005,Slovakia,Agriculture,3.21261
2005,Sweden,Enteric fermentation,3.30322
2005,Finland,Managed agricultural soils,3.33522
2005,Denmark,Enteric fermentation,3.39028
2005,Denmark,Manure management,3.50963
2005,Greece,Managed agricultural soils,3.56768
2005,Belgium,Managed agricultural soils,3.58745
2005,Portugal,Enteric fermentation,3.71193
2005,Lithuania,Agriculture,3.71983
2005,Denmark,Managed agricultural soils,3.83939
2005,Greece,Enteric fermentation,3.84027
2005,Sweden,Livestock,3.90941
2005,United Kingdom,Livestock,30.24021
2005,Italy,Agriculture,33.1242
2005,France,Enteric fermentation,33.72651
2005,France,Managed agricultural soils,34.80042
2005,Germany,Livestock,35.79023
2005,Spain,Agriculture,38.08675
2005,Poland,Manure management,4.13916
2005,Austria,Enteric fermentation,4.14341
2005,Romania,Managed agricultural soils,4.40071
2005,Belgium,Enteric fermentation,4.58107
2005,Netherlands,Manure management,4.89975
2005,France,Livestock,41.71762
2005,United Kingdom,Agriculture,45.81307
2005,Greece,Livestock,5.00444
2005,Bulgaria,Agriculture,5.0233
2005,Austria,Livestock,5.03816
2005,Portugal,Livestock,5.08397
2005,United Kingdom,Manure management,5.23935
2005,Czech Republic,Livestock,5.36992
2005,Italy,Manure management,6.05427
2005,Hungary,Agriculture,6.12752
2005,Netherlands,Managed agricultural soils,6.17469
2005,Ireland,Managed agricultural soils,6.27814
2005,Finland,Agriculture,6.41381
2005,Belgium,Livestock,6.51429
2005,Denmark,Livestock,6.89991
2005,Germany,Agriculture,62.91951
2005,Austria,Agriculture,7.01707
2005,Sweden,Agriculture,7.22867
2005,Portugal,Agriculture,7.29763
2005,Netherlands,Enteric fermentation,7.59726
2005,France,Manure management,7.99111
2005,France,Agriculture,78.48295
2005,Czech Republic,Agriculture,8.3349
2005,Greece,Agriculture,8.76953
2006,Spain,Agriculture,38.767
2006,Malta,Managed agricultural soils,0.02996
2006,Malta,Manure management,0.03377
2006,Malta,Enteric fermentation,0.04035
2006,Malta,Livestock,0.07412
2006,Iceland,Manure management,0.08863
2006,Luxembourg,Manure management,0.0925
2006,Malta,Agriculture,0.10408
2006,Estonia,Manure management,0.12768
2006,Luxembourg,Managed agricultural soils,0.14967
2006,Cyprus,Managed agricultural soils,0.15973
2006,Latvia,Manure management,0.21533
2006,Cyprus,Enteric fermentation,0.22628
2006,Cyprus,Manure management,0.27721
2006,Iceland,Enteric fermentation,0.28011
2006,Iceland,Managed agricultural soils,0.33713
2006,Iceland,Livestock,0.36873
2006,Slovenia,Manure management,0.38065
2006,Luxembourg,Enteric fermentation,0.38334
2006,Croatia,Manure management,0.40666
2006,Estonia,Managed agricultural soils,0.42818
2006,Slovenia,Managed agricultural soils,0.45354
2006,Lithuania,Manure management,0.47217
2006,Luxembourg,Livestock,0.47584
2006,Cyprus,Livestock,0.50349
2006,Estonia,Enteric fermentation,0.50741
2006,Slovakia,Manure management,0.59446
2006,Sweden,Manure management,0.59808
2006,Luxembourg,Agriculture,0.62856
2006,Estonia,Livestock,0.63508
2006,Cyprus,Agriculture,0.6646
2006,Iceland,Agriculture,0.70594
2006,Finland,Manure management,0.72022
2006,Latvia,Enteric fermentation,0.75671
2006,Bulgaria,Manure management,0.87091
2006,Austria,Manure management,0.8909
2006,Slovenia,Enteric fermentation,0.91103
2006,Latvia,Livestock,0.97204
2006,Estonia,Agriculture,1.08699
2006,Slovakia,Enteric fermentation,1.12402
2006,Croatia,Enteric fermentation,1.14574
2006,Hungary,Manure management,1.1485
2006,Greece,Manure management,1.15012
2006,Croatia,Managed agricultural soils,1.24002
2006,Slovenia,Livestock,1.29168
2006,Latvia,Managed agricultural soils,1.3039
2006,Portugal,Manure management,1.36974
2006,Slovakia,Managed agricultural soils,1.43843
2006,Lithuania,Managed agricultural soils,1.47136
2006,Croatia,Livestock,1.55239
2006,Slovakia,Livestock,1.71848
2006,Lithuania,Enteric fermentation,1.73237
2006,Ireland,Manure management,1.75556
2006,Bulgaria,Enteric fermentation,1.76098
2006,Slovenia,Agriculture,1.77322
2006,Austria,Managed agricultural soils,1.86124
2006,Hungary,Enteric fermentation,1.8635
2006,Portugal,Managed agricultural soils,1.90098
2006,Belgium,Manure management,1.94258
2006,Belgium,Agriculture,10.02877
2006,Germany,Manure management,10.6098
2006,Spain,Manure management,10.74951
2006,Denmark,Agriculture,10.7758
2006,Ireland,Enteric fermentation,10.78948
2006,Italy,Managed agricultural soils,10.90841
2006,Romania,Enteric fermentation,10.9576
2006,Poland,Enteric fermentation,12.05981
2006,Netherlands,Livestock,12.49672
2006,Ireland,Livestock,12.54504
2006,Poland,Managed agricultural soils,12.66245
2006,Spain,Managed agricultural soils,13.08455
2006,Spain,Enteric fermentation,13.48097
2006,Italy,Enteric fermentation,13.63863
2006,Romania,Livestock,14.24606
2006,United Kingdom,Managed agricultural soils,14.25453
2006,Poland,Livestock,16.37116
2006,Netherlands,Agriculture,18.73393
2006,Ireland,Agriculture,18.8836
2006,Romania,Agriculture,19.03359
2006,Italy,Livestock,19.52122
2006,Finland,Enteric fermentation,2.0647
2006,Lithuania,Livestock,2.20454
2006,Bulgaria,Managed agricultural soils,2.2196
2006,Latvia,Agriculture,2.2788
2006,Czech Republic,Manure management,2.58393
2006,Bulgaria,Livestock,2.63189
2006,Finland,Livestock,2.78492
2006,Czech Republic,Enteric fermentation,2.80651
2006,Czech Republic,Managed agricultural soils,2.86813
2006,Croatia,Agriculture,2.87308
2006,Hungary,Managed agricultural soils,2.94189
2006,Spain,Livestock,24.23048
2006,Germany,Enteric fermentation,24.32399
2006,Germany,Managed agricultural soils,24.35519
2006,United Kingdom,Enteric fermentation,24.79948
2006,United Kingdom,Livestock,29.99633
2006,Hungary,Livestock,3.01199
2006,Slovakia,Agriculture,3.18324
2006,Finland,Managed agricultural soils,3.2608
2006,Romania,Manure management,3.28846
2006,Sweden,Enteric fermentation,3.30677
2006,Denmark,Manure management,3.32412
2006,Denmark,Enteric fermentation,3.39127
2006,Sweden,Managed agricultural soils,3.41272
2006,Belgium,Managed agricultural soils,3.42101
2006,Greece,Managed agricultural soils,3.46501
2006,Portugal,Enteric fermentation,3.68892
2006,Lithuania,Agriculture,3.70202
2006,Denmark,Managed agricultural soils,3.85966
2006,Greece,Enteric fermentation,3.88995
2006,Sweden,Livestock,3.90485
2006,Romania,Managed agricultural soils,3.94506
2006,Poland,Agriculture,30.0317
2006,Italy,Agriculture,32.75468
2006,France,Enteric fermentation,33.82469
2006,France,Managed agricultural soils,34.45557
2006,Germany,Livestock,34.93379
2006,Austria,Enteric fermentation,4.12987
2006,Poland,Manure management,4.31135
2006,Belgium,Enteric fermentation,4.52422
2006,Netherlands,Manure management,4.86586
2006,Bulgaria,Agriculture,4.92965
2006,France,Livestock,42.12395
2006,United Kingdom,Agriculture,45.35006
2006,Austria,Livestock,5.02077
2006,Greece,Livestock,5.04007
2006,Portugal,Livestock,5.05866
2006,United Kingdom,Manure management,5.19684
2006,Czech Republic,Livestock,5.39044
2006,Italy,Manure management,5.88259
2006,Ireland,Managed agricultural soils,6.05415
2006,Hungary,Agriculture,6.11785
2006,Netherlands,Managed agricultural soils,6.1561
2006,Finland,Agriculture,6.36943
2006,Belgium,Livestock,6.4668
2006,Denmark,Livestock,6.71539
2006,Austria,Agriculture,6.98796
2006,Germany,Agriculture,62.02361
2006,Portugal,Agriculture,7.19519
2006,Sweden,Agriculture,7.40718
2006,Netherlands,Enteric fermentation,7.63086
2006,France,Agriculture,78.48105
2006,France,Manure management,8.29926
2006,Czech Republic,Agriculture,8.41895
2006,Greece,Agriculture,8.69246
2007,Malta,Managed agricultural soils,0.03143
2007,Malta,Manure management,0.03526
2007,Malta,Enteric fermentation,0.04153
2007,Malta,Livestock,0.07678
2007,Iceland,Manure management,0.09065
2007,Luxembourg,Manure management,0.0938
2007,Malta,Agriculture,0.10821
2007,Estonia,Manure management,0.13498
2007,Cyprus,Managed agricultural soils,0.14418
2007,Luxembourg,Managed agricultural soils,0.14768
2007,Latvia,Manure management,0.22253
2007,Cyprus,Enteric fermentation,0.23701
2007,Iceland,Enteric fermentation,0.28413
2007,Cyprus,Manure management,0.28418
2007,Iceland,Managed agricultural soils,0.3527
2007,Iceland,Livestock,0.37478
2007,Croatia,Manure management,0.37752
2007,Slovenia,Manure management,0.39354
2007,Luxembourg,Enteric fermentation,0.39813
2007,Lithuania,Manure management,0.43731
2007,Slovenia,Managed agricultural soils,0.45858
2007,Estonia,Managed agricultural soils,0.46562
2007,Luxembourg,Livestock,0.49193
2007,Estonia,Enteric fermentation,0.50265
2007,Cyprus,Livestock,0.52119
2007,Slovakia,Manure management,0.55577
2007,Sweden,Manure management,0.59996
2007,Estonia,Livestock,0.63763
2007,Luxembourg,Agriculture,0.64269
2007,Cyprus,Agriculture,0.66668
2007,Finland,Manure management,0.72462
2007,Iceland,Agriculture,0.72761
2007,Latvia,Enteric fermentation,0.79069
2007,Bulgaria,Manure management,0.88644
2007,Austria,Manure management,0.89872
2007,Slovenia,Enteric fermentation,0.95068
2007,Latvia,Livestock,1.01321
2007,Croatia,Enteric fermentation,1.08329
2007,Slovakia,Enteric fermentation,1.11285
2007,Estonia,Agriculture,1.12617
2007,Greece,Manure management,1.13875
2007,Hungary,Manure management,1.15925
2007,Croatia,Managed agricultural soils,1.26611
2007,Slovenia,Livestock,1.34423
2007,Latvia,Managed agricultural soils,1.35468
2007,Portugal,Manure management,1.36162
2007,Croatia,Livestock,1.4608
2007,Slovakia,Managed agricultural soils,1.53222
2007,Lithuania,Managed agricultural soils,1.60957
2007,Slovakia,Livestock,1.66862
2007,Bulgaria,Enteric fermentation,1.67399
2007,Lithuania,Enteric fermentation,1.70277
2007,Ireland,Manure management,1.71905
2007,Slovenia,Agriculture,1.82753
2007,Hungary,Enteric fermentation,1.86807
2007,Austria,Managed agricultural soils,1.87261
2007,Belgium,Manure management,1.98207
2007,Belgium,Agriculture,10.2182
2007,Ireland,Enteric fermentation,10.58699
2007,Germany,Manure management,10.61562
2007,Spain,Manure management,10.85753
2007,Italy,Managed agricultural soils,10.87888
2007,Denmark,Agriculture,10.93161
2007,Romania,Enteric fermentation,11.17897
2007,Poland,Enteric fermentation,12.20674
2007,Ireland,Livestock,12.30603
2007,Netherlands,Livestock,12.60842
2007,Poland,Managed agricultural soils,13.30992
2007,Spain,Managed agricultural soils,13.52538
2007,Spain,Enteric fermentation,13.64915
2007,United Kingdom,Managed agricultural soils,13.78493
2007,Italy,Enteric fermentation,14.13934
2007,Romania,Livestock,14.31053
2007,Poland,Livestock,16.52463
2007,Netherlands,Agriculture,18.48067
2007,Ireland,Agriculture,18.59911
2007,Romania,Agriculture,19.29812
2007,Finland,Enteric fermentation,2.04434
2007,Portugal,Managed agricultural soils,2.05275
2007,Lithuania,Livestock,2.14009
2007,Bulgaria,Managed agricultural soils,2.16711
2007,Latvia,Agriculture,2.37442
2007,Czech Republic,Manure management,2.56007
2007,Bulgaria,Livestock,2.56043
2007,Finland,Livestock,2.76896
2007,Croatia,Agriculture,2.81624
2007,Czech Republic,Enteric fermentation,2.83656
2007,Hungary,Managed agricultural soils,2.91338
2007,Czech Republic,Managed agricultural soils,2.9467
2007,Italy,Livestock,20.16953
2007,Germany,Managed agricultural soils,23.53349
2007,Germany,Enteric fermentation,24.2975
2007,Spain,Livestock,24.50668
2007,United Kingdom,Enteric fermentation,24.50973
2007,United Kingdom,Livestock,29.62913
2007,Hungary,Livestock,3.02733
2007,Sweden,Managed agricultural soils,3.07073
2007,Romania,Manure management,3.13156
2007,Slovakia,Agriculture,3.23027
2007,Sweden,Enteric fermentation,3.24025
2007,Finland,Managed agricultural soils,3.29801
2007,Denmark,Manure management,3.33171
2007,Denmark,Enteric fermentation,3.46983
2007,Belgium,Managed agricultural soils,3.47679
2007,Romania,Managed agricultural soils,3.53924
2007,Greece,Managed agricultural soils,3.60573
2007,Portugal,Enteric fermentation,3.63817
2007,Lithuania,Agriculture,3.78783
2007,Sweden,Livestock,3.8402
2007,Greece,Enteric fermentation,3.86499
2007,Denmark,Managed agricultural soils,3.93196
2007,Poland,Agriculture,30.67178
2007,Italy,Agriculture,33.42218
2007,France,Enteric fermentation,34.09939
2007,Germany,Livestock,34.91312
2007,France,Managed agricultural soils,35.19763
2007,Spain,Agriculture,39.46864
2007,Austria,Enteric fermentation,4.14516
2007,Poland,Manure management,4.31789
2007,Belgium,Enteric fermentation,4.61966
2007,Bulgaria,Agriculture,4.81398
2007,Netherlands,Manure management,4.87907
2007,Portugal,Livestock,4.99979
2007,France,Livestock,42.32696
2007,United Kingdom,Agriculture,44.66105
2007,Greece,Livestock,5.00374
2007,Austria,Livestock,5.04388
2007,United Kingdom,Manure management,5.1194
2007,Czech Republic,Livestock,5.39664
2007,Netherlands,Managed agricultural soils,5.80117
2007,Ireland,Managed agricultural soils,5.89295
2007,Italy,Manure management,6.03018
2007,Hungary,Agriculture,6.09795
2007,Finland,Agriculture,6.34612
2007,Belgium,Livestock,6.60173
2007,Denmark,Livestock,6.80154
2007,Germany,Agriculture,61.44557
2007,Austria,Agriculture,7.02469
2007,Sweden,Agriculture,7.02651
2007,Portugal,Agriculture,7.28895
2007,Netherlands,Enteric fermentation,7.72935
2007,France,Agriculture,79.43662
2007,France,Manure management,8.22757
2007,Czech Republic,Agriculture,8.54517
2007,Greece,Agriculture,8.81299
2008,Finland,Manure management,0.708
2008,Portugal,Managed agricultural soils,2.011
2008,Malta,Managed agricultural soils,0.03039
2008,Malta,Manure management,0.03193
2008,Malta,Enteric fermentation,0.0395
2008,Malta,Livestock,0.07144
2008,Iceland,Manure management,0.0898
2008,Luxembourg,Manure management,0.09472
2008,Malta,Agriculture,0.10183
2008,Cyprus,Managed agricultural soils,0.13421
2008,Estonia,Manure management,0.13459
2008,Luxembourg,Managed agricultural soils,0.1493
2008,Latvia,Manure management,0.21527
2008,Cyprus,Enteric fermentation,0.23008
2008,Cyprus,Manure management,0.2763
2008,Iceland,Enteric fermentation,0.28761
2008,Croatia,Manure management,0.35468
2008,Iceland,Managed agricultural soils,0.36714
2008,Slovenia,Manure management,0.36784
2008,Iceland,Livestock,0.37741
2008,Luxembourg,Enteric fermentation,0.40978
2008,Slovenia,Managed agricultural soils,0.42523
2008,Lithuania,Manure management,0.42953
2008,Estonia,Enteric fermentation,0.50031
2008,Slovakia,Manure management,0.50156
2008,Luxembourg,Livestock,0.5045
2008,Cyprus,Livestock,0.50637
2008,Estonia,Managed agricultural soils,0.54395
2008,Sweden,Manure management,0.59067
2008,Estonia,Livestock,0.63491
2008,Cyprus,Agriculture,0.6413
2008,Luxembourg,Agriculture,0.65665
2008,Iceland,Agriculture,0.7447
2008,Latvia,Enteric fermentation,0.76619
2008,Bulgaria,Manure management,0.83841
2008,Austria,Manure management,0.88766
2008,Slovenia,Enteric fermentation,0.92878
2008,Latvia,Livestock,0.98146
2008,Croatia,Enteric fermentation,1.05484
2008,Slovakia,Enteric fermentation,1.0787
2008,Hungary,Manure management,1.10968
2008,Greece,Manure management,1.12502
2008,Estonia,Agriculture,1.19881
2008,Slovenia,Livestock,1.29662
2008,Croatia,Managed agricultural soils,1.30241
2008,Latvia,Managed agricultural soils,1.36484
2008,Portugal,Manure management,1.3671
2008,Croatia,Livestock,1.40952
2008,Slovakia,Managed agricultural soils,1.48029
2008,Lithuania,Managed agricultural soils,1.54226
2008,Slovakia,Livestock,1.58026
2008,Bulgaria,Enteric fermentation,1.62907
2008,Lithuania,Enteric fermentation,1.67762
2008,Ireland,Manure management,1.71489
2008,Slovenia,Agriculture,1.74075
2008,Hungary,Enteric fermentation,1.8452
2008,Belgium,Manure management,1.9831
2008,Austria,Managed agricultural soils,1.99168
2008,Belgium,Agriculture,10.07198
2008,Italy,Managed agricultural soils,10.19651
2008,Spain,Manure management,10.42362
2008,Ireland,Enteric fermentation,10.54064
2008,Germany,Manure management,10.61978
2008,Denmark,Agriculture,10.88625
2008,Romania,Enteric fermentation,11.04821
2008,Spain,Managed agricultural soils,11.79586
2008,Poland,Enteric fermentation,12.19524
2008,Ireland,Livestock,12.25553
2008,Netherlands,Livestock,12.83769
2008,Spain,Enteric fermentation,13.03996
2008,Poland,Managed agricultural soils,13.57324
2008,United Kingdom,Managed agricultural soils,13.78374
2008,Italy,Enteric fermentation,14.02015
2008,Romania,Livestock,14.10156
2008,Poland,Livestock,16.29044
2008,Ireland,Agriculture,18.42865
2008,Netherlands,Agriculture,18.54259
2008,Romania,Agriculture,18.85646
2008,Finland,Enteric fermentation,2.03033
2008,Lithuania,Livestock,2.10715
2008,Czech Republic,Manure management,2.32115
2008,Latvia,Agriculture,2.35233
2008,Bulgaria,Livestock,2.46748
2008,Bulgaria,Managed agricultural soils,2.47338
2008,Finland,Livestock,2.73833
2008,Croatia,Agriculture,2.80854
2008,Czech Republic,Enteric fermentation,2.8684
2008,Hungary,Livestock,2.95488
2008,Czech Republic,Managed agricultural soils,2.98425
2008,Italy,Livestock,20.04459
2008,Spain,Livestock,23.46358
2008,United Kingdom,Enteric fermentation,23.93313
2008,Germany,Enteric fermentation,24.75421
2008,Germany,Managed agricultural soils,25.25829
2008,United Kingdom,Livestock,28.93549
2008,Romania,Manure management,3.05335
2008,Hungary,Managed agricultural soils,3.06061
2008,Slovakia,Agriculture,3.10865
2008,Sweden,Managed agricultural soils,3.17281
2008,Denmark,Manure management,3.17835
2008,Sweden,Enteric fermentation,3.21932
2008,Finland,Managed agricultural soils,3.36879
2008,Belgium,Managed agricultural soils,3.37623
2008,Greece,Managed agricultural soils,3.43215
2008,Denmark,Enteric fermentation,3.50213
2008,Portugal,Enteric fermentation,3.64195
2008,Lithuania,Agriculture,3.6794
2008,Sweden,Livestock,3.80999
2008,Greece,Enteric fermentation,3.84285
2008,Romania,Managed agricultural soils,3.96282
2008,Denmark,Managed agricultural soils,3.97073
2008,Poland,Agriculture,30.75045
2008,Italy,Agriculture,32.42805
2008,France,Enteric fermentation,34.55897
2008,France,Managed agricultural soils,35.23891
2008,Germany,Livestock,35.37399
2008,Spain,Agriculture,36.51577
2008,Poland,Manure management,4.0952
2008,Austria,Enteric fermentation,4.13739
2008,Belgium,Enteric fermentation,4.57431
2008,Greece,Livestock,4.96787
2008,Netherlands,Manure management,4.96905
2008,France,Livestock,42.74913
2008,United Kingdom,Agriculture,43.75599
2008,United Kingdom,Manure management,5.00237
2008,Portugal,Livestock,5.00905
2008,Austria,Livestock,5.02505
2008,Bulgaria,Agriculture,5.05558
2008,Czech Republic,Livestock,5.18955
2008,Netherlands,Managed agricultural soils,5.63429
2008,Ireland,Managed agricultural soils,5.88015
2008,Italy,Manure management,6.02444
2008,Hungary,Agriculture,6.11557
2008,Finland,Agriculture,6.43545
2008,Belgium,Livestock,6.55741
2008,Denmark,Livestock,6.68048
2008,Germany,Agriculture,63.77592
2008,Sweden,Agriculture,7.08739
2008,Austria,Agriculture,7.12281
2008,Portugal,Agriculture,7.26657
2008,Netherlands,Enteric fermentation,7.86864
2008,France,Agriculture,79.94964
2008,France,Manure management,8.19016
2008,Czech Republic,Agriculture,8.36875
2008,Greece,Agriculture,8.60775
2009,Malta,Enteric fermentation,0.03800
2009,Spain,Manure management,10.339
2009,Malta,Managed agricultural soils,0.02936
2009,Malta,Manure management,0.03085
2009,Malta,Livestock,0.06885
2009,Iceland,Manure management,0.0911
2009,Luxembourg,Manure management,0.09401
2009,Malta,Agriculture,0.09821
2009,Cyprus,Managed agricultural soils,0.13323
2009,Estonia,Manure management,0.13716
2009,Luxembourg,Managed agricultural soils,0.14987
2009,Latvia,Manure management,0.21229
2009,Cyprus,Enteric fermentation,0.22888
2009,Cyprus,Manure management,0.27186
2009,Iceland,Enteric fermentation,0.29092
2009,Iceland,Managed agricultural soils,0.33914
2009,Croatia,Manure management,0.35876
2009,Slovenia,Manure management,0.37097
2009,Iceland,Livestock,0.38202
2009,Luxembourg,Enteric fermentation,0.41225
2009,Lithuania,Manure management,0.42302
2009,Slovenia,Managed agricultural soils,0.44436
2009,Estonia,Managed agricultural soils,0.49462
2009,Estonia,Enteric fermentation,0.49536
2009,Slovakia,Manure management,0.49657
2009,Cyprus,Livestock,0.50074
2009,Luxembourg,Livestock,0.50626
2009,Sweden,Manure management,0.58474
2009,Estonia,Livestock,0.63252
2009,Cyprus,Agriculture,0.63531
2009,Luxembourg,Agriculture,0.66021
2009,Iceland,Agriculture,0.72131
2009,Finland,Manure management,0.73184
2009,Latvia,Enteric fermentation,0.76335
2009,Bulgaria,Manure management,0.79564
2009,Austria,Manure management,0.89917
2009,Slovenia,Enteric fermentation,0.91379
2009,Latvia,Livestock,0.97564
2009,Slovakia,Enteric fermentation,1.03008
2009,Hungary,Manure management,1.05203
2009,Croatia,Enteric fermentation,1.05277
2009,Estonia,Agriculture,1.13004
2009,Greece,Manure management,1.15129
2009,Croatia,Managed agricultural soils,1.18986
2009,Slovenia,Livestock,1.28477
2009,Portugal,Manure management,1.37549
2009,Latvia,Managed agricultural soils,1.40089
2009,Croatia,Livestock,1.41153
2009,Slovakia,Managed agricultural soils,1.42244
2009,Slovakia,Livestock,1.52665
2009,Bulgaria,Enteric fermentation,1.53786
2009,Lithuania,Enteric fermentation,1.63754
2009,Lithuania,Managed agricultural soils,1.65184
2009,Ireland,Manure management,1.69855
2009,Slovenia,Agriculture,1.7514
2009,Hungary,Enteric fermentation,1.82178
2009,Austria,Managed agricultural soils,1.94442
2009,Portugal,Managed agricultural soils,1.96464
2009,Belgium,Manure management,1.99305
2009,Belgium,Agriculture,10.2235
2009,Ireland,Enteric fermentation,10.3811
2009,Denmark,Agriculture,10.55578
2009,Germany,Manure management,10.60494
2009,Romania,Enteric fermentation,10.78839
2009,Spain,Managed agricultural soils,11.8719
2009,Poland,Enteric fermentation,11.99899
2009,Ireland,Livestock,12.07966
2009,Spain,Enteric fermentation,12.93789
2009,Netherlands,Livestock,12.98691
2009,Poland,Managed agricultural soils,13.3279
2009,Romania,Livestock,13.64081
2009,United Kingdom,Managed agricultural soils,13.77599
2009,Italy,Enteric fermentation,14.06059
2009,Poland,Livestock,15.92414
2009,Ireland,Agriculture,18.26911
2009,Romania,Agriculture,18.32602
2009,Netherlands,Agriculture,18.39694
2009,Finland,Enteric fermentation,2.05219
2009,Lithuania,Livestock,2.06057
2009,Czech Republic,Manure management,2.23813
2009,Bulgaria,Livestock,2.33349
2009,Latvia,Agriculture,2.38502
2009,Bulgaria,Managed agricultural soils,2.40959
2009,Croatia,Agriculture,2.67835
2009,Hungary,Managed agricultural soils,2.77819
2009,Finland,Livestock,2.78404
2009,Czech Republic,Enteric fermentation,2.79968
2009,Romania,Manure management,2.85242
2009,Hungary,Livestock,2.87381
2009,Czech Republic,Managed agricultural soils,2.87762
2009,Sweden,Managed agricultural soils,2.97346
2009,Slovakia,Agriculture,2.98964
2009,Italy,Livestock,20.15874
2009,Spain,Livestock,23.27689
2009,United Kingdom,Enteric fermentation,23.57033
2009,Germany,Managed agricultural soils,24.26066
2009,Germany,Enteric fermentation,24.8288
2009,United Kingdom,Livestock,28.50783
2009,Denmark,Manure management,3.09389
2009,Sweden,Enteric fermentation,3.19765
2009,Greece,Managed agricultural soils,3.29755
2009,Finland,Managed agricultural soils,3.31817
2009,Belgium,Managed agricultural soils,3.49946
2009,Denmark,Enteric fermentation,3.50399
2009,Portugal,Enteric fermentation,3.52902
2009,Lithuania,Agriculture,3.75543
2009,Denmark,Managed agricultural soils,3.76662
2009,Sweden,Livestock,3.78239
2009,Romania,Managed agricultural soils,3.84561
2009,Poland,Manure management,3.92515
2009,Greece,Enteric fermentation,3.99456
2009,Poland,Agriculture,30.06406
2009,Italy,Agriculture,31.75722
2009,France,Enteric fermentation,34.1806
2009,France,Managed agricultural soils,34.70102
