year,country,meat_type,unit,quantity
2006,European Union (15 countries),Bovine meat,Thousand head (animals),25473.12
2006,European Union (15 countries),Calve and young cattley,Thousand tonnes,768.36
2006,European Union (15 countries),Calve and young cattley,Thousand head (animals),5334.49
2006,European Union (15 countries),Calve,Thousand tonnes,0
2006,European Union (15 countries),Calve,Thousand head (animals),0
2006,European Union (15 countries),Young cattle,Thousand tonnes,0
2006,European Union (15 countries),Young cattle,Thousand head (animals),0
2006,European Union (15 countries),Adult cattle,Thousand tonnes,6530.28
2006,European Union (15 countries),Adult cattle,Thousand head (animals),20138.63
2006,Belgium,Bovine meat,Thousand tonnes,268.92
2006,Belgium,Bovine meat,Thousand head (animals),819.44
2006,Belgium,Calve and young cattley,Thousand tonnes,54.1
2006,Belgium,Calve and young cattley,Thousand head (animals),319.45
2006,Belgium,Calve,Thousand tonnes,0
2006,Belgium,Calve,Thousand head (animals),0
2006,Belgium,Young cattle,Thousand tonnes,0
2006,Belgium,Young cattle,Thousand head (animals),0
2006,Belgium,Adult cattle,Thousand tonnes,214.82
2006,Belgium,Adult cattle,Thousand head (animals),499.99
2006,Bulgaria,Bovine meat,Thousand tonnes,22.75
2006,Bulgaria,Bovine meat,Thousand head (animals),161.27
2006,Bulgaria,Calve and young cattley,Thousand tonnes,13.78
2006,Bulgaria,Calve and young cattley,Thousand head (animals),114.82
2006,Bulgaria,Calve,Thousand tonnes,0
2006,Bulgaria,Calve,Thousand head (animals),0
2006,Bulgaria,Young cattle,Thousand tonnes,0
2006,Bulgaria,Young cattle,Thousand head (animals),0
2006,Bulgaria,Adult cattle,Thousand tonnes,8.97
2006,Bulgaria,Adult cattle,Thousand head (animals),46.45
2006,Czech Republic,Bovine meat,Thousand tonnes,79.71
2006,Czech Republic,Bovine meat,Thousand head (animals),273.59
2006,Czech Republic,Calve and young cattley,Thousand tonnes,0.48
2006,Czech Republic,Calve and young cattley,Thousand head (animals),7.81
2006,Czech Republic,Calve,Thousand tonnes,0
2006,Czech Republic,Calve,Thousand head (animals),0
2006,Czech Republic,Young cattle,Thousand tonnes,0
2006,Czech Republic,Young cattle,Thousand head (animals),0
2006,Czech Republic,Adult cattle,Thousand tonnes,79.23
2006,Czech Republic,Adult cattle,Thousand head (animals),265.78
2006,Denmark,Bovine meat,Thousand tonnes,128.7
2006,Denmark,Bovine meat,Thousand head (animals),492.9
2006,Denmark,Calve and young cattley,Thousand tonnes,1.7
2006,Denmark,Calve and young cattley,Thousand head (animals),9.78
2006,Denmark,Calve,Thousand tonnes,0
2006,Denmark,Calve,Thousand head (animals),0
2006,Denmark,Young cattle,Thousand tonnes,0
2006,Denmark,Young cattle,Thousand head (animals),0
2006,Denmark,Adult cattle,Thousand tonnes,127.01
2006,Denmark,Adult cattle,Thousand head (animals),483.12
2006,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand tonnes,1192.95
2006,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand head (animals),3806.52
2006,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand tonnes,43.13
2006,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand head (animals),340.7
2006,Germany (until 1990 former territory of the FRG),Calve,Thousand tonnes,0
2006,Germany (until 1990 former territory of the FRG),Calve,Thousand head (animals),0
2006,Germany (until 1990 former territory of the FRG),Young cattle,Thousand tonnes,0
2006,Germany (until 1990 former territory of the FRG),Young cattle,Thousand head (animals),0
2006,Germany (until 1990 former territory of the FRG),Adult cattle,Thousand tonnes,1149.82
2006,Germany (until 1990 former territory of the FRG),Adult cattle,Thousand head (animals),3465.83
2006,Estonia,Bovine meat,Thousand tonnes,14.48
2006,Estonia,Bovine meat,Thousand head (animals),69.91
2006,Estonia,Calve and young cattley,Thousand tonnes,0.54
2006,Estonia,Calve and young cattley,Thousand head (animals),11.56
2006,Estonia,Calve,Thousand tonnes,0
2006,Estonia,Calve,Thousand head (animals),0
2006,Estonia,Young cattle,Thousand tonnes,0
2006,Estonia,Young cattle,Thousand head (animals),0
2006,Estonia,Adult cattle,Thousand tonnes,13.94
2006,Estonia,Adult cattle,Thousand head (animals),58.35
2006,Ireland,Bovine meat,Thousand tonnes,572.2
2006,Ireland,Bovine meat,Thousand head (animals),1773.2
2006,Ireland,Calve and young cattley,Thousand tonnes,0
2006,Ireland,Calve and young cattley,Thousand head (animals),0.2
2006,Ireland,Calve,Thousand tonnes,0
2006,Ireland,Calve,Thousand head (animals),0
2006,Ireland,Young cattle,Thousand tonnes,0
2006,Ireland,Young cattle,Thousand head (animals),0
2006,Ireland,Adult cattle,Thousand tonnes,572.2
2006,Ireland,Adult cattle,Thousand head (animals),1773
2006,Greece,Bovine meat,Thousand tonnes,60.69
2006,Greece,Bovine meat,Thousand head (animals),282.67
2006,Greece,Calve and young cattley,Thousand tonnes,14.7
2006,Greece,Calve and young cattley,Thousand head (animals),97.36
2006,Greece,Calve,Thousand tonnes,0
2006,Greece,Calve,Thousand head (animals),0
2006,Greece,Young cattle,Thousand tonnes,0
2006,Greece,Young cattle,Thousand head (animals),0
2006,Greece,Adult cattle,Thousand tonnes,45.99
2006,Greece,Adult cattle,Thousand head (animals),185.31
2006,Spain,Bovine meat,Thousand tonnes,670.41
2006,Spain,Bovine meat,Thousand head (animals),2599.09
2006,Spain,Calve and young cattley,Thousand tonnes,31.75
2006,Spain,Calve and young cattley,Thousand head (animals),202.33
2006,Spain,Calve,Thousand tonnes,0
2006,Spain,Calve,Thousand head (animals),0
2006,Spain,Young cattle,Thousand tonnes,0
2006,Spain,Young cattle,Thousand head (animals),0
2006,Spain,Adult cattle,Thousand tonnes,638.66
2006,Spain,Adult cattle,Thousand head (animals),2396.76
2006,France,Bovine meat,Thousand tonnes,1509.52
2006,France,Bovine meat,Thousand head (animals),5165.8
2006,France,Calve and young cattley,Thousand tonnes,239.3
2006,France,Calve and young cattley,Thousand head (animals),1744.33
2006,France,Calve,Thousand tonnes,0
2006,France,Calve,Thousand head (animals),0
2006,France,Young cattle,Thousand tonnes,0
2006,France,Young cattle,Thousand head (animals),0
2006,France,Adult cattle,Thousand tonnes,1270.22
2006,France,Adult cattle,Thousand head (animals),3421.47
2006,Croatia,Bovine meat,Thousand tonnes,59.39
2006,Croatia,Bovine meat,Thousand head (animals),358.43
2006,Croatia,Calve and young cattley,Thousand tonnes,11.48
2006,Croatia,Calve and young cattley,Thousand head (animals),164.09
2006,Croatia,Calve,Thousand tonnes,0
2006,Croatia,Calve,Thousand head (animals),0
2006,Croatia,Young cattle,Thousand tonnes,0
2006,Croatia,Young cattle,Thousand head (animals),0
2006,Croatia,Adult cattle,Thousand tonnes,47.92
2006,Croatia,Adult cattle,Thousand head (animals),194.34
2006,Italy,Bovine meat,Thousand tonnes,1110.63
2006,Italy,Bovine meat,Thousand head (animals),4054.42
2006,Italy,Calve and young cattley,Thousand tonnes,142.35
2006,Italy,Calve and young cattley,Thousand head (animals),965.75
2006,Italy,Calve,Thousand tonnes,0
2006,Italy,Calve,Thousand head (animals),0
2006,Italy,Young cattle,Thousand tonnes,0
2006,Italy,Young cattle,Thousand head (animals),0
2006,Italy,Adult cattle,Thousand tonnes,968.28
2006,Italy,Adult cattle,Thousand head (animals),3088.68
2006,Cyprus,Bovine meat,Thousand tonnes,4
2006,Cyprus,Bovine meat,Thousand head (animals),18.51
2006,Cyprus,Calve and young cattley,Thousand tonnes,0
2006,Cyprus,Calve and young cattley,Thousand head (animals),0
2006,Cyprus,Calve,Thousand tonnes,0
2006,Cyprus,Calve,Thousand head (animals),0
2006,Cyprus,Young cattle,Thousand tonnes,0
2006,Cyprus,Young cattle,Thousand head (animals),0
2006,Cyprus,Adult cattle,Thousand tonnes,4
2006,Cyprus,Adult cattle,Thousand head (animals),18.51
2006,Latvia,Bovine meat,Thousand tonnes,20.68
2006,Latvia,Bovine meat,Thousand head (animals),114.54
2006,Latvia,Calve and young cattley,Thousand tonnes,2.16
2006,Latvia,Calve and young cattley,Thousand head (animals),28.07
2006,Latvia,Calve,Thousand tonnes,0
2006,Latvia,Calve,Thousand head (animals),0
2006,Latvia,Young cattle,Thousand tonnes,0
2006,Latvia,Young cattle,Thousand head (animals),0
2006,Latvia,Adult cattle,Thousand tonnes,18.52
2006,Latvia,Adult cattle,Thousand head (animals),86.47
2006,Lithuania,Bovine meat,Thousand tonnes,47.32
2006,Lithuania,Bovine meat,Thousand head (animals),238.76
2006,Lithuania,Calve and young cattley,Thousand tonnes,1.38
2006,Lithuania,Calve and young cattley,Thousand head (animals),34.3
2006,Lithuania,Calve,Thousand tonnes,0
2006,Lithuania,Calve,Thousand head (animals),0
2006,Lithuania,Young cattle,Thousand tonnes,0
2006,Lithuania,Young cattle,Thousand head (animals),0
2006,Lithuania,Adult cattle,Thousand tonnes,45.95
2006,Lithuania,Adult cattle,Thousand head (animals),204.46
2006,Luxembourg,Bovine meat,Thousand tonnes,9.33
2006,Luxembourg,Bovine meat,Thousand head (animals),27.83
2006,Luxembourg,Calve and young cattley,Thousand tonnes,0.59
2006,Luxembourg,Calve and young cattley,Thousand head (animals),3.7
2006,Luxembourg,Calve,Thousand tonnes,0
2006,Luxembourg,Calve,Thousand head (animals),0
2006,Luxembourg,Young cattle,Thousand tonnes,0
2006,Luxembourg,Young cattle,Thousand head (animals),0
2006,Luxembourg,Adult cattle,Thousand tonnes,8.74
2006,Luxembourg,Adult cattle,Thousand head (animals),24.14
2006,Hungary,Bovine meat,Thousand tonnes,33.55
2006,Hungary,Bovine meat,Thousand head (animals),126
2006,Hungary,Calve and young cattley,Thousand tonnes,0.16
2006,Hungary,Calve and young cattley,Thousand head (animals),1.85
2006,Hungary,Calve,Thousand tonnes,0
2006,Hungary,Calve,Thousand head (animals),0
2006,Hungary,Young cattle,Thousand tonnes,0
2006,Hungary,Young cattle,Thousand head (animals),0
2006,Hungary,Adult cattle,Thousand tonnes,33.39
2006,Hungary,Adult cattle,Thousand head (animals),124.15
2006,Malta,Bovine meat,Thousand tonnes,1.4
2006,Malta,Bovine meat,Thousand head (animals),5.21
2006,Malta,Calve and young cattley,Thousand tonnes,0
2006,Malta,Calve and young cattley,Thousand head (animals),0.01
2006,Malta,Calve,Thousand tonnes,0
2006,Malta,Calve,Thousand head (animals),0
2006,Malta,Young cattle,Thousand tonnes,0
2006,Malta,Young cattle,Thousand head (animals),0
2006,Malta,Adult cattle,Thousand tonnes,1.4
2006,Malta,Adult cattle,Thousand head (animals),5.2
2006,Netherlands,Bovine meat,Thousand tonnes,383.65
2006,Netherlands,Bovine meat,Thousand head (animals),1915
2006,Netherlands,Calve and young cattley,Thousand tonnes,205.03
2006,Netherlands,Calve and young cattley,Thousand head (animals),1334
2006,Netherlands,Calve,Thousand tonnes,0
2006,Netherlands,Calve,Thousand head (animals),0
2006,Netherlands,Young cattle,Thousand tonnes,0
2006,Netherlands,Young cattle,Thousand head (animals),0
2006,Netherlands,Adult cattle,Thousand tonnes,178.62
2006,Netherlands,Adult cattle,Thousand head (animals),581
2006,Austria,Bovine meat,Thousand tonnes,214.58
2006,Austria,Bovine meat,Thousand head (animals),682.76
2006,Austria,Calve and young cattley,Thousand tonnes,8.67
2006,Austria,Calve and young cattley,Thousand head (animals),87.09
2006,Austria,Calve,Thousand tonnes,0
2006,Austria,Calve,Thousand head (animals),0
2006,Austria,Young cattle,Thousand tonnes,0
2006,Austria,Young cattle,Thousand head (animals),0
2006,Austria,Adult cattle,Thousand tonnes,205.91
2006,Austria,Adult cattle,Thousand head (animals),595.67
2006,Poland,Bovine meat,Thousand tonnes,355.33
2006,Poland,Bovine meat,Thousand head (animals),1463.1
2006,Poland,Calve and young cattley,Thousand tonnes,7.27
2006,Poland,Calve and young cattley,Thousand head (animals),139.73
2006,Poland,Calve,Thousand tonnes,0
2006,Poland,Calve,Thousand head (animals),0
2006,Poland,Young cattle,Thousand tonnes,0
2006,Poland,Young cattle,Thousand head (animals),0
2006,Poland,Adult cattle,Thousand tonnes,348.06
2006,Poland,Adult cattle,Thousand head (animals),1323.36
2006,Portugal,Bovine meat,Thousand tonnes,105.31
2006,Portugal,Bovine meat,Thousand head (animals),439.25
2006,Portugal,Calve and young cattley,Thousand tonnes,20.32
2006,Portugal,Calve and young cattley,Thousand head (animals),136.73
2006,Portugal,Calve,Thousand tonnes,0
2006,Portugal,Calve,Thousand head (animals),0
2006,Portugal,Young cattle,Thousand tonnes,0
2006,Portugal,Young cattle,Thousand head (animals),0
2006,Portugal,Adult cattle,Thousand tonnes,84.98
2006,Portugal,Adult cattle,Thousand head (animals),302.52
2006,Romania,Bovine meat,Thousand tonnes,194.6
2006,Romania,Bovine meat,Thousand head (animals),1115
2006,Romania,Calve and young cattley,Thousand tonnes,120.6
2006,Romania,Calve and young cattley,Thousand head (animals),690
2006,Romania,Calve,Thousand tonnes,0
2006,Romania,Calve,Thousand head (animals),0
2006,Romania,Young cattle,Thousand tonnes,0
2006,Romania,Young cattle,Thousand head (animals),0
2006,Romania,Adult cattle,Thousand tonnes,74
2006,Romania,Adult cattle,Thousand head (animals),425
2006,Slovenia,Bovine meat,Thousand tonnes,37.91
2006,Slovenia,Bovine meat,Thousand head (animals),136.79
2006,Slovenia,Calve and young cattley,Thousand tonnes,2.17
2006,Slovenia,Calve and young cattley,Thousand head (animals),24.94
2006,Slovenia,Calve,Thousand tonnes,0
2006,Slovenia,Calve,Thousand head (animals),0
2006,Slovenia,Young cattle,Thousand tonnes,0
2006,Slovenia,Young cattle,Thousand head (animals),0
2006,Slovenia,Adult cattle,Thousand tonnes,35.74
2006,Slovenia,Adult cattle,Thousand head (animals),111.85
2006,Slovakia,Bovine meat,Thousand tonnes,21.41
2006,Slovakia,Bovine meat,Thousand head (animals),81.71
2006,Slovakia,Calve and young cattley,Thousand tonnes,0.06
2006,Slovakia,Calve and young cattley,Thousand head (animals),1.07
2006,Slovakia,Calve,Thousand tonnes,0
2006,Slovakia,Calve,Thousand head (animals),0
2006,Slovakia,Young cattle,Thousand tonnes,0
2006,Slovakia,Young cattle,Thousand head (animals),0
2006,Slovakia,Adult cattle,Thousand tonnes,21.35
2006,Slovakia,Adult cattle,Thousand head (animals),80.64
2006,Finland,Bovine meat,Thousand tonnes,87.05
2006,Finland,Bovine meat,Thousand head (animals),303.61
2006,Finland,Calve and young cattley,Thousand tonnes,0.83
2006,Finland,Calve and young cattley,Thousand head (animals),9.46
2006,Finland,Calve,Thousand tonnes,0
2006,Finland,Calve,Thousand head (animals),0
2006,Finland,Young cattle,Thousand tonnes,0
2006,Finland,Young cattle,Thousand head (animals),0
2006,Finland,Adult cattle,Thousand tonnes,86.22
2006,Finland,Adult cattle,Thousand head (animals),294.15
2006,Sweden,Bovine meat,Thousand tonnes,137.4
2006,Sweden,Bovine meat,Thousand head (animals),466.14
2006,Sweden,Calve and young cattley,Thousand tonnes,4.51
2006,Sweden,Calve and young cattley,Thousand head (animals),32.43
2006,Sweden,Calve,Thousand tonnes,4.51
2006,Sweden,Calve,Thousand head (animals),32.43
2006,Sweden,Young cattle,Thousand tonnes,11.4
2006,Sweden,Young cattle,Thousand head (animals),41.81
2006,Sweden,Adult cattle,Thousand tonnes,132.9
2006,Sweden,Adult cattle,Thousand head (animals),433.71
2006,United Kingdom,Bovine meat,Thousand tonnes,847.28
2006,United Kingdom,Bovine meat,Thousand head (animals),2644.48
2006,United Kingdom,Calve and young cattley,Thousand tonnes,1.37
2006,United Kingdom,Calve and young cattley,Thousand head (animals),51.19
2006,United Kingdom,Calve,Thousand tonnes,0
2006,United Kingdom,Calve,Thousand head (animals),0
2006,United Kingdom,Young cattle,Thousand tonnes,0
2006,United Kingdom,Young cattle,Thousand head (animals),0
2006,United Kingdom,Adult cattle,Thousand tonnes,845.91
2006,United Kingdom,Adult cattle,Thousand head (animals),2593.29
2006,Iceland,Bovine meat,Thousand tonnes,0
2006,Iceland,Bovine meat,Thousand head (animals),0
2006,Iceland,Calve and young cattley,Thousand tonnes,0
2006,Iceland,Calve and young cattley,Thousand head (animals),0
2006,Iceland,Calve,Thousand tonnes,0
2006,Iceland,Calve,Thousand head (animals),0
2006,Iceland,Young cattle,Thousand tonnes,0
2006,Iceland,Young cattle,Thousand head (animals),0
2006,Iceland,Adult cattle,Thousand tonnes,0
2006,Iceland,Adult cattle,Thousand head (animals),0
2006,Switzerland,Bovine meat,Thousand tonnes,0
2006,Switzerland,Bovine meat,Thousand head (animals),0
2006,Switzerland,Calve and young cattley,Thousand tonnes,0
2006,Switzerland,Calve and young cattley,Thousand head (animals),0
2006,Switzerland,Calve,Thousand tonnes,0
2006,Switzerland,Calve,Thousand head (animals),0
2006,Switzerland,Young cattle,Thousand tonnes,0
2006,Switzerland,Young cattle,Thousand head (animals),0
2006,Switzerland,Adult cattle,Thousand tonnes,0
2006,Switzerland,Adult cattle,Thousand head (animals),0
2006,Montenegro,Bovine meat,Thousand tonnes,0
2006,Montenegro,Bovine meat,Thousand head (animals),0
2006,Montenegro,Calve and young cattley,Thousand tonnes,0
2006,Montenegro,Calve and young cattley,Thousand head (animals),0
2006,Montenegro,Calve,Thousand tonnes,0
2006,Montenegro,Calve,Thousand head (animals),0
2006,Montenegro,Young cattle,Thousand tonnes,0
2006,Montenegro,Young cattle,Thousand head (animals),0
2006,Montenegro,Adult cattle,Thousand tonnes,0
2006,Montenegro,Adult cattle,Thousand head (animals),0
2006,Albania,Bovine meat,Thousand tonnes,0
2006,Albania,Bovine meat,Thousand head (animals),0
2006,Albania,Calve and young cattley,Thousand tonnes,0
2006,Albania,Calve and young cattley,Thousand head (animals),0
2006,Albania,Calve,Thousand tonnes,0
2006,Albania,Calve,Thousand head (animals),0
2006,Albania,Young cattle,Thousand tonnes,0
2006,Albania,Young cattle,Thousand head (animals),0
2006,Albania,Adult cattle,Thousand tonnes,0
2006,Albania,Adult cattle,Thousand head (animals),0
2006,Serbia,Bovine meat,Thousand tonnes,0
2006,Serbia,Bovine meat,Thousand head (animals),0
2006,Serbia,Calve and young cattley,Thousand tonnes,0
2006,Serbia,Calve and young cattley,Thousand head (animals),0
2006,Serbia,Calve,Thousand tonnes,0
2006,Serbia,Calve,Thousand head (animals),0
2006,Serbia,Young cattle,Thousand tonnes,0
2006,Serbia,Young cattle,Thousand head (animals),0
2006,Serbia,Adult cattle,Thousand tonnes,0
2006,Serbia,Adult cattle,Thousand head (animals),0
2006,Turkey,Bovine meat,Thousand tonnes,0
2006,Turkey,Bovine meat,Thousand head (animals),0
2006,Turkey,Calve and young cattley,Thousand tonnes,0
2006,Turkey,Calve and young cattley,Thousand head (animals),0
2006,Turkey,Calve,Thousand tonnes,0
2006,Turkey,Calve,Thousand head (animals),0
2006,Turkey,Young cattle,Thousand tonnes,0
2006,Turkey,Young cattle,Thousand head (animals),0
2006,Turkey,Adult cattle,Thousand tonnes,0
2006,Turkey,Adult cattle,Thousand head (animals),0
2006,Bosnia and Herzegovina,Bovine meat,Thousand tonnes,0
2006,Bosnia and Herzegovina,Bovine meat,Thousand head (animals),0
2006,Bosnia and Herzegovina,Calve and young cattley,Thousand tonnes,0
2006,Bosnia and Herzegovina,Calve and young cattley,Thousand head (animals),0
2006,Bosnia and Herzegovina,Calve,Thousand tonnes,0
2006,Bosnia and Herzegovina,Calve,Thousand head (animals),0
2006,Bosnia and Herzegovina,Young cattle,Thousand tonnes,0
2006,Bosnia and Herzegovina,Young cattle,Thousand head (animals),0
2006,Bosnia and Herzegovina,Adult cattle,Thousand tonnes,0
2006,Bosnia and Herzegovina,Adult cattle,Thousand head (animals),0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Thousand tonnes,0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Thousand head (animals),0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Calve and young cattley,Thousand tonnes,0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Calve and young cattley,Thousand head (animals),0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Calve,Thousand tonnes,0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Calve,Thousand head (animals),0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Young cattle,Thousand tonnes,0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Young cattle,Thousand head (animals),0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Adult cattle,Thousand tonnes,0
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Adult cattle,Thousand head (animals),0
2007,European Union (28 countries),Bovine meat,Thousand tonnes,8258.41
2007,European Union (28 countries),Bovine meat,Thousand head (animals),29148.56
2007,European Union (28 countries),Calve and young cattley,Thousand tonnes,879.54
2007,European Union (28 countries),Calve and young cattley,Thousand head (animals),6153.23
2007,European Union (28 countries),Calve,Thousand tonnes,0
2007,European Union (28 countries),Calve,Thousand head (animals),0
2007,European Union (28 countries),Young cattle,Thousand tonnes,0
2007,European Union (28 countries),Young cattle,Thousand head (animals),0
2007,European Union (28 countries),Adult cattle,Thousand tonnes,7378.87
2007,European Union (28 countries),Adult cattle,Thousand head (animals),22995.32
2007,European Union (27 countries),Bovine meat,Thousand tonnes,8203.65
2007,European Union (27 countries),Bovine meat,Thousand head (animals),28818.02
2007,European Union (27 countries),Calve and young cattley,Thousand tonnes,870.04
2007,European Union (27 countries),Calve and young cattley,Thousand head (animals),5985.13
2007,European Union (27 countries),Calve,Thousand tonnes,0
2007,European Union (27 countries),Calve,Thousand head (animals),0
2007,European Union (27 countries),Young cattle,Thousand tonnes,0
2007,European Union (27 countries),Young cattle,Thousand head (animals),0
2007,European Union (27 countries),Adult cattle,Thousand tonnes,7333.61
2007,European Union (27 countries),Adult cattle,Thousand head (animals),22832.89
2007,European Union (25 countries),Bovine meat,Thousand tonnes,7970.72
2007,European Union (25 countries),Bovine meat,Thousand head (animals),27582.28
2007,European Union (25 countries),Calve and young cattley,Thousand tonnes,746.95
2007,European Union (25 countries),Calve and young cattley,Thousand head (animals),5341.8
2007,European Union (25 countries),Calve,Thousand tonnes,0
2007,European Union (25 countries),Calve,Thousand head (animals),0
2007,European Union (25 countries),Young cattle,Thousand tonnes,0
2007,European Union (25 countries),Young cattle,Thousand head (animals),0
2007,European Union (25 countries),Adult cattle,Thousand tonnes,7223.77
2007,European Union (25 countries),Adult cattle,Thousand head (animals),22240.48
2007,European Union (15 countries),Bovine meat,Thousand tonnes,7333.96
2007,European Union (15 countries),Bovine meat,Thousand head (animals),24962.72
2007,European Union (15 countries),Calve and young cattley,Thousand tonnes,726.35
2007,European Union (15 countries),Calve and young cattley,Thousand head (animals),5011.48
2007,European Union (15 countries),Calve,Thousand tonnes,0
2007,European Union (15 countries),Calve,Thousand head (animals),0
2007,European Union (15 countries),Young cattle,Thousand tonnes,0
2007,European Union (15 countries),Young cattle,Thousand head (animals),0
2007,European Union (15 countries),Adult cattle,Thousand tonnes,6607.61
2007,European Union (15 countries),Adult cattle,Thousand head (animals),19951.23
2007,Belgium,Bovine meat,Thousand tonnes,272.86
2007,Belgium,Bovine meat,Thousand head (animals),815.29
2007,Belgium,Calve and young cattley,Thousand tonnes,52.61
2007,Belgium,Calve and young cattley,Thousand head (animals),315.12
2007,Belgium,Calve,Thousand tonnes,0
2007,Belgium,Calve,Thousand head (animals),0
2007,Belgium,Young cattle,Thousand tonnes,0
2007,Belgium,Young cattle,Thousand head (animals),0
2007,Belgium,Adult cattle,Thousand tonnes,220.26
2007,Belgium,Adult cattle,Thousand head (animals),500.17
2007,Bulgaria,Bovine meat,Thousand tonnes,21.73
2007,Bulgaria,Bovine meat,Thousand head (animals),29.74
2007,Bulgaria,Calve and young cattley,Thousand tonnes,11.08
2007,Bulgaria,Calve and young cattley,Thousand head (animals),5.33
2007,Bulgaria,Calve,Thousand tonnes,0
2007,Bulgaria,Calve,Thousand head (animals),0
2007,Bulgaria,Young cattle,Thousand tonnes,0
2007,Bulgaria,Young cattle,Thousand head (animals),0
2007,Bulgaria,Adult cattle,Thousand tonnes,10.64
2007,Bulgaria,Adult cattle,Thousand head (animals),24.41
2007,Czech Republic,Bovine meat,Thousand tonnes,79.33
2007,Czech Republic,Bovine meat,Thousand head (animals),269.66
2007,Czech Republic,Calve and young cattley,Thousand tonnes,0.47
2007,Czech Republic,Calve and young cattley,Thousand head (animals),7.56
2007,Czech Republic,Calve,Thousand tonnes,0
2007,Czech Republic,Calve,Thousand head (animals),0
2007,Czech Republic,Young cattle,Thousand tonnes,0
2007,Czech Republic,Young cattle,Thousand head (animals),0
2007,Czech Republic,Adult cattle,Thousand tonnes,78.86
2007,Czech Republic,Adult cattle,Thousand head (animals),262.09
2007,Denmark,Bovine meat,Thousand tonnes,129.99
2007,Denmark,Bovine meat,Thousand head (animals),498.03
2007,Denmark,Calve and young cattley,Thousand tonnes,1.69
2007,Denmark,Calve and young cattley,Thousand head (animals),9.76
2007,Denmark,Calve,Thousand tonnes,0
2007,Denmark,Calve,Thousand head (animals),0
2007,Denmark,Young cattle,Thousand tonnes,0
2007,Denmark,Young cattle,Thousand head (animals),0
2007,Denmark,Adult cattle,Thousand tonnes,128.29
2007,Denmark,Adult cattle,Thousand head (animals),488.27
2007,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand tonnes,1185.23
2007,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand head (animals),3712.56
2007,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand tonnes,39.93
2007,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand head (animals),311.57
2007,Germany (until 1990 former territory of the FRG),Calve,Thousand tonnes,0
2007,Germany (until 1990 former territory of the FRG),Calve,Thousand head (animals),0
2007,Germany (until 1990 former territory of the FRG),Young cattle,Thousand tonnes,0
2007,Germany (until 1990 former territory of the FRG),Young cattle,Thousand head (animals),0
