year,country,crop,area
2008,Belgium,Radishes,0.01
2008,Belgium,Garlic,0
2008,Belgium,"Other root, tuber and bulb vegetables n.e.c.",1.03
2008,Belgium,Fresh pulses,18.69
2008,Belgium,Fresh peas,9
2008,Belgium,Fresh beans,9.69
2008,Belgium,Other fresh pulses n.e.c.,0
2008,Belgium,Other fresh vegetables n.e.c.,0
2008,Belgium,Strawberries,1.55
2008,Belgium,Strawberries - under glass or high accesible cover,0
2008,Belgium,Flowers and ornamental plants (excluding nurseries),0
2008,Belgium,Seeds and seedlings,0
2008,Belgium,Other arable land crops n.e.c.,0
2008,Belgium,Fallow land,0
2008,Belgium,Permanent grassland,0
2008,Belgium,Permanent crops,0
2008,Belgium,Permanent crops for human consumption including those from kitchen gardens,19.28
2008,Belgium,Permanent crops for human consumption,0
2008,Belgium,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",17.52
2008,Belgium,Pome fruits,0
2008,Belgium,Apples,8.08
2008,Belgium,Apples for fresh consumption,8.08
2008,Belgium,Apples for processing,0
2008,Belgium,Pears,8.12
2008,Belgium,Pears for fresh consumption,8.12
2008,Belgium,Pears for processing,0
2008,Belgium,Other pome fruits n.e.c.,0
2008,Belgium,Stone fruits,1.33
2008,Belgium,Peaches and nectarines,0
2008,Belgium,Peaches,0
2008,Belgium,Nectarines,0
2008,Belgium,Peaches and nectarines for processing,0
2008,Belgium,Apricots,0
2008,Belgium,Cherries,1.25
2008,Belgium,Sour cherries,0
2008,Belgium,Sweet cherries,0
2008,Belgium,Plums,0.08
2008,Belgium,Other stone fruits n.e.c,0
2008,Belgium,Fruits from subtropical and tropical climate zones,0
2008,Belgium,Figs,0
2008,Belgium,Kiwis,0
2008,Belgium,Avocados,0
2008,Belgium,Bananas,0
2008,Belgium,Other fruits from subtropical and tropical climate zones n.e.c.,0
2008,Belgium,Berries (excluding strawberries),0.21
2008,Belgium,Currants,0.08
2008,Belgium,Blackcurrants,0
2008,Belgium,Redcurrants,0.08
2008,Belgium,Raspberries,0.06
2008,Belgium,Blueberries,0
2008,Belgium,Other berries n.e.c.,0.08
2008,Belgium,Gooseberries,0.01
2008,Belgium,Nuts,0
2008,Belgium,Walnuts,0
2008,Belgium,Hazelnuts,0
2008,Belgium,Almonds,0
2008,Belgium,Chestnuts,0
2008,Belgium,Other nuts n.e.c.,0
2008,Belgium,Citrus fruits,0
2008,Belgium,Oranges,0
2008,Belgium,Navel oranges,0
2008,Belgium,White oranges (blancas),0
2008,Belgium,Blood oranges (sanguines),0
2008,Belgium,Others oranges n.e.c,0
2008,Belgium,Small citrus fruits,0
2008,Belgium,Satsumas,0
2008,Belgium,Clementines,0
2008,Belgium,Other small citrus fruits (including hybrids) n.e.c.,0
2008,Belgium,Lemons and acid limes,0
2008,Belgium,Yellow lemons,0
2008,Belgium,Acid limes,0
2008,Belgium,Pomelos and grapefruit,0
2008,Belgium,Other citrus fruits n.e.c.,0
2008,Belgium,Grapes,0
2008,Belgium,Grapes for wines,0
2008,Belgium,Grapes for wines with protected designation of origin (PDO),0
2008,Belgium,Grapes for wines with protected geographical indication (PGI),0
2008,Belgium,Grapes for other wines n.e.c. (without PDO/PGI),0
2008,Belgium,Grapes for table use,0
2008,Belgium,Grapes for raisins,0
2008,Belgium,Grapes for other purposes n.e.c.,0
2008,Belgium,Olives,0
2008,Belgium,Olives for table use,0
2008,Belgium,Olives for oil,0
2008,Belgium,Other permanent crops for human consumption n.e.c.,0
2008,Belgium,Nurseries,0
2008,Belgium,Other permanent crops,0
2008,Belgium,Kitchen gardens,0
2008,Belgium,Cultivated mushrooms,0
2008,Belgium,Champignons,0
2008,Belgium,Other cultivated mushrooms n.e.c.,0
2008,Bulgaria,Utilised Agricultural Area,0
2008,Bulgaria,Arable land,0
2008,Bulgaria,Cereals for the production of grain (including seed),1713.5
2008,Bulgaria,Cereals (excluding rice) for the production of grain (including seed),1705.7
2008,Bulgaria,Wheat and spelt,1111.5
2008,Bulgaria,Common wheat and spelt,1106.6
2008,Bulgaria,Common winter wheat and spelt,1106.6
2008,Bulgaria,Common spring wheat and spelt,0
2008,Bulgaria,Durum wheat,5
2008,Bulgaria,Rye and winter cereal mixtures (maslin),7.4
2008,Bulgaria,Rye,7.4
2008,Bulgaria,Winter cereal mixtures (maslin),0
2008,Bulgaria,Barley,222.7
2008,Bulgaria,Winter barley,209.8
2008,Bulgaria,Spring barley,12.9
2008,Bulgaria,Oats and spring cereal mixtures (mixed grain other than maslin),25.1
2008,Bulgaria,Oats,24.9
2008,Bulgaria,Spring cereal mixtures (mixed grain other than maslin),0.2
2008,Bulgaria,Grain maize and corn-cob-mix,329.3
2008,Bulgaria,Triticale,4.6
2008,Bulgaria,Sorghum,1.8
2008,Bulgaria,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",3.3
2008,Bulgaria,Rice,7.8
2008,Bulgaria,Rice Indica,0
2008,Bulgaria,Rice Japonica,0
2008,Bulgaria,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),4.9
2008,Bulgaria,Field peas,2
2008,Bulgaria,Broad and field beans,0
2008,Bulgaria,Sweet lupins,0
2008,Bulgaria,Other dry pulses and protein crops n.e.c.,0
2008,Bulgaria,Root crops,21.7
2008,Bulgaria,Potatoes (including seed potatoes),21.7
2008,Bulgaria,Sugar beet (excluding seed),0
2008,Bulgaria,Other root crops n.e.c.,0
2008,Bulgaria,Industrial crops,885.4
2008,Bulgaria,Oilseeds,797.4
2008,Bulgaria,"Rape, turnip rape, sunflower seeds and soya",809.3
2008,Bulgaria,Rape and turnip rape seeds,87.5
2008,Bulgaria,Winter rape and turnip rape seeds,87.5
2008,Bulgaria,Spring rape and turnip rape seeds,0
2008,Bulgaria,Sunflower seed,721.7
2008,Bulgaria,Soya,0.1
2008,Bulgaria,Linseed (oilflax),0
2008,Bulgaria,Cotton seed,0
2008,Bulgaria,Other oilseed crops n.e.c.,0.3
2008,Bulgaria,Fibre crops,0.7
2008,Bulgaria,Fibre flax,0
2008,Bulgaria,Hemp,0
2008,Bulgaria,Cotton fibre,0.7
2008,Bulgaria,Other fibre crops n.e.c.,0
2008,Bulgaria,Tobacco,25.3
2008,Bulgaria,Hops,0.2
2008,Bulgaria,"Aromatic, medicinal and culinary plants",45.9
2008,Bulgaria,Energy crops n.e.c.,0
2008,Bulgaria,Other industrial crops n.e.c.,3.7
2008,Bulgaria,Plants harvested green from arable land,128.2
2008,Bulgaria,Temporary grasses and grazings,39.2
2008,Bulgaria,Leguminous plants harvested green,101.8
2008,Bulgaria,Lucerne,61.9
2008,Bulgaria,Other leguminous plants harvested green n.e.c.,0.7
2008,Bulgaria,Clover and mixtures,0.7
2008,Bulgaria,Green maize,19
2008,Bulgaria,Other cereals harvested green (excluding green maize),0
2008,Bulgaria,Other plants harvested green from arable land n.e.c.,7.4
2008,Bulgaria,Fresh vegetables (including melons) and strawberries,26.6
2008,Bulgaria,Fresh vegetables (including melons),25.4
2008,Bulgaria,Brassicas,2.38
2008,Bulgaria,Cauliflower and broccoli,0.24
2008,Bulgaria,Brussels sprouts,0.04
2008,Bulgaria,Cabbages,2.09
2008,Bulgaria,Other brassicas n.e.c,0.01
2008,Bulgaria,Kohlrabi,0
2008,Bulgaria,Leafy and stalked vegetables (excluding brassicas),0.56
2008,Bulgaria,Leeks,0.12
2008,Bulgaria,Celery,0
2008,Bulgaria,Lettuces,0.05
2008,Bulgaria,Lettuces - under glass or high accessible cover,0
2008,Bulgaria,Endives,0
2008,Bulgaria,Spinach,0.05
2008,Bulgaria,Asparagus,0
2008,Bulgaria,Chicory,0
2008,Bulgaria,Chicory for fresh consumption,0
2008,Bulgaria,Chicory for processing,0
2008,Bulgaria,Artichokes,0
2008,Bulgaria,Other leafy or stalked vegetables n.e.c.,0.35
2008,Bulgaria,Vegetables cultivated for fruit (including melons),17.2
2008,Bulgaria,Tomatoes,3.47
2008,Bulgaria,Tomatoes for fresh consumption,0
2008,Bulgaria,Tomatoes for processing,0
2008,Bulgaria,Tomatoes - under glass or high accessible cover,0
2008,Bulgaria,Cucumbers,0.13
2008,Bulgaria,Cucumbers - under glass or high accessible cover,0
2008,Bulgaria,Gherkins,0.25
2008,Bulgaria,Eggplants,0.26
2008,Bulgaria,Courgettes and marrows,0.18
2008,Bulgaria,Gourds and pumpkins,0.26
2008,Bulgaria,Muskmelons,1.24
2008,Bulgaria,Watermelons,3.51
2008,Bulgaria,Peppers (capsicum),3.75
2008,Bulgaria,Peppers (capsicum) - under glass or high accessible cover,0
2008,Bulgaria,Other vegetables cultivated for fruit n.e.c.,4.15
2008,Bulgaria,"Root, tuber and bulb vegetables",2.46
2008,Bulgaria,Carrots,0.62
2008,Bulgaria,Onions,1.28
2008,Bulgaria,Shallots,0
2008,Bulgaria,Beetroot,0.04
2008,Bulgaria,Celeriac,0.03
2008,Bulgaria,Radishes,0.01
2008,Bulgaria,Garlic,0.23
2008,Bulgaria,"Other root, tuber and bulb vegetables n.e.c.",0.08
2008,Bulgaria,Fresh pulses,2.66
2008,Bulgaria,Fresh peas,1.51
2008,Bulgaria,Fresh beans,1.15
2008,Bulgaria,Other fresh pulses n.e.c.,0
2008,Bulgaria,Other fresh vegetables n.e.c.,0.13
2008,Bulgaria,Strawberries,1.2
2008,Bulgaria,Strawberries - under glass or high accesible cover,0
2008,Bulgaria,Flowers and ornamental plants (excluding nurseries),0
2008,Bulgaria,Seeds and seedlings,0
2008,Bulgaria,Other arable land crops n.e.c.,0
2008,Bulgaria,Fallow land,0
2008,Bulgaria,Permanent grassland,0
2008,Bulgaria,Permanent crops,0
2008,Bulgaria,Permanent crops for human consumption including those from kitchen gardens,177.1
2008,Bulgaria,Permanent crops for human consumption,0
2008,Bulgaria,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",63.4
2008,Bulgaria,Pome fruits,0
2008,Bulgaria,Apples,5.4
2008,Bulgaria,Apples for fresh consumption,5.4
2008,Bulgaria,Apples for processing,0
2008,Bulgaria,Pears,0.6
2008,Bulgaria,Pears for fresh consumption,0.6
2008,Bulgaria,Pears for processing,0
2008,Bulgaria,Other pome fruits n.e.c.,0.5
2008,Bulgaria,Stone fruits,45.3
2008,Bulgaria,Peaches and nectarines,0
2008,Bulgaria,Peaches,6
2008,Bulgaria,Nectarines,0
2008,Bulgaria,Peaches and nectarines for processing,0
2008,Bulgaria,Apricots,7.5
2008,Bulgaria,Cherries,15.4
2008,Bulgaria,Sour cherries,0
2008,Bulgaria,Sweet cherries,0
2008,Bulgaria,Plums,16.4
2008,Bulgaria,Other stone fruits n.e.c,0
2008,Bulgaria,Fruits from subtropical and tropical climate zones,0.1
2008,Bulgaria,Figs,0.1
2008,Bulgaria,Kiwis,0
2008,Bulgaria,Avocados,0
2008,Bulgaria,Bananas,0
2008,Bulgaria,Other fruits from subtropical and tropical climate zones n.e.c.,0
2008,Bulgaria,Berries (excluding strawberries),1.7
2008,Bulgaria,Currants,0
2008,Bulgaria,Blackcurrants,0.1
2008,Bulgaria,Redcurrants,0
2008,Bulgaria,Raspberries,1.4
2008,Bulgaria,Blueberries,0
2008,Bulgaria,Other berries n.e.c.,0.2
2008,Bulgaria,Gooseberries,0
2008,Bulgaria,Nuts,11.5
2008,Bulgaria,Walnuts,8.9
2008,Bulgaria,Hazelnuts,0.7
2008,Bulgaria,Almonds,1.9
2008,Bulgaria,Chestnuts,0
2008,Bulgaria,Other nuts n.e.c.,0
2008,Bulgaria,Citrus fruits,0
2008,Bulgaria,Oranges,0
2008,Bulgaria,Navel oranges,0
2008,Bulgaria,White oranges (blancas),0
2008,Bulgaria,Blood oranges (sanguines),0
2008,Bulgaria,Others oranges n.e.c,0
2008,Bulgaria,Small citrus fruits,0
2008,Bulgaria,Satsumas,0
2008,Bulgaria,Clementines,0
2008,Bulgaria,Other small citrus fruits (including hybrids) n.e.c.,0
2008,Bulgaria,Lemons and acid limes,0
2008,Bulgaria,Yellow lemons,0
2008,Bulgaria,Acid limes,0
2008,Bulgaria,Pomelos and grapefruit,0
2008,Bulgaria,Other citrus fruits n.e.c.,0
2008,Bulgaria,Grapes,110.8
2008,Bulgaria,Grapes for wines,107.4
2008,Bulgaria,Grapes for wines with protected designation of origin (PDO),0
2008,Bulgaria,Grapes for wines with protected geographical indication (PGI),0
2008,Bulgaria,Grapes for other wines n.e.c. (without PDO/PGI),0
2008,Bulgaria,Grapes for table use,3.4
2008,Bulgaria,Grapes for raisins,0
2008,Bulgaria,Grapes for other purposes n.e.c.,0
2008,Bulgaria,Olives,0
2008,Bulgaria,Olives for table use,0
2008,Bulgaria,Olives for oil,0
2008,Bulgaria,Other permanent crops for human consumption n.e.c.,0
2008,Bulgaria,Nurseries,0
2008,Bulgaria,Other permanent crops,0
2008,Bulgaria,Kitchen gardens,0
2008,Bulgaria,Cultivated mushrooms,0
2008,Bulgaria,Champignons,0
2008,Bulgaria,Other cultivated mushrooms n.e.c.,0
2008,Czech Republic,Utilised Agricultural Area,0
2008,Czech Republic,Arable land,0
2008,Czech Republic,Cereals for the production of grain (including seed),1552.7
2008,Czech Republic,Cereals (excluding rice) for the production of grain (including seed),1552.7
2008,Czech Republic,Wheat and spelt,802.3
2008,Czech Republic,Common wheat and spelt,802.3
2008,Czech Republic,Common winter wheat and spelt,760.4
2008,Czech Republic,Common spring wheat and spelt,41.9
2008,Czech Republic,Durum wheat,0
2008,Czech Republic,Rye and winter cereal mixtures (maslin),43.4
2008,Czech Republic,Rye,43.4
2008,Czech Republic,Winter cereal mixtures (maslin),0
2008,Czech Republic,Barley,482.4
2008,Czech Republic,Winter barley,141.2
2008,Czech Republic,Spring barley,341.2
2008,Czech Republic,Oats and spring cereal mixtures (mixed grain other than maslin),49
2008,Czech Republic,Oats,49
2008,Czech Republic,Spring cereal mixtures (mixed grain other than maslin),0
2008,Czech Republic,Grain maize and corn-cob-mix,107.9
2008,Czech Republic,Triticale,57.8
2008,Czech Republic,Sorghum,0
2008,Czech Republic,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",9.9
2008,Czech Republic,Rice,0
2008,Czech Republic,Rice Indica,0
2008,Czech Republic,Rice Japonica,0
2008,Czech Republic,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),22.3
2008,Czech Republic,Field peas,17.4
2008,Czech Republic,Broad and field beans,0.9
2008,Czech Republic,Sweet lupins,0
2008,Czech Republic,Other dry pulses and protein crops n.e.c.,0
2008,Czech Republic,Root crops,81.2
2008,Czech Republic,Potatoes (including seed potatoes),29.8
2008,Czech Republic,Sugar beet (excluding seed),50.4
2008,Czech Republic,Other root crops n.e.c.,0
2008,Czech Republic,Industrial crops,495.5
2008,Czech Republic,Oilseeds,483.9
2008,Czech Republic,"Rape, turnip rape, sunflower seeds and soya",385.7
2008,Czech Republic,Rape and turnip rape seeds,356.9
2008,Czech Republic,Winter rape and turnip rape seeds,356.9
2008,Czech Republic,Spring rape and turnip rape seeds,0
2008,Czech Republic,Sunflower seed,24.5
2008,Czech Republic,Soya,4.3
2008,Czech Republic,Linseed (oilflax),1.2
2008,Czech Republic,Cotton seed,0
2008,Czech Republic,Other oilseed crops n.e.c.,96.9
2008,Czech Republic,Fibre crops,0.2
2008,Czech Republic,Fibre flax,0.2
2008,Czech Republic,Hemp,0
2008,Czech Republic,Cotton fibre,0
2008,Czech Republic,Other fibre crops n.e.c.,0
2008,Czech Republic,Tobacco,0
2008,Czech Republic,Hops,5.3
2008,Czech Republic,"Aromatic, medicinal and culinary plants",4
2008,Czech Republic,Energy crops n.e.c.,0
2008,Czech Republic,Other industrial crops n.e.c.,2.1
2008,Czech Republic,Plants harvested green from arable land,400.3
2008,Czech Republic,Temporary grasses and grazings,0
2008,Czech Republic,Leguminous plants harvested green,188.2
2008,Czech Republic,Lucerne,72.5
2008,Czech Republic,Other leguminous plants harvested green n.e.c.,115.7
2008,Czech Republic,Clover and mixtures,48.2
2008,Czech Republic,Green maize,173.9
2008,Czech Republic,Other cereals harvested green (excluding green maize),0
2008,Czech Republic,Other plants harvested green from arable land n.e.c.,38.1
2008,Czech Republic,Fresh vegetables (including melons) and strawberries,10.43
2008,Czech Republic,Fresh vegetables (including melons),9.73
2008,Czech Republic,Brassicas,1.93
2008,Czech Republic,Cauliflower and broccoli,0.4
2008,Czech Republic,Brussels sprouts,0.16
2008,Czech Republic,Cabbages,1.24
2008,Czech Republic,Other brassicas n.e.c,0.14
2008,Czech Republic,Kohlrabi,0.14
2008,Czech Republic,Leafy and stalked vegetables (excluding brassicas),0.28
2008,Czech Republic,Leeks,0
2008,Czech Republic,Celery,0
2008,Czech Republic,Lettuces,0
2008,Czech Republic,Lettuces - under glass or high accessible cover,0
2008,Czech Republic,Endives,0
2008,Czech Republic,Spinach,0
2008,Czech Republic,Asparagus,0
2008,Czech Republic,Chicory,0
2008,Czech Republic,Chicory for fresh consumption,0
2008,Czech Republic,Chicory for processing,0
2008,Czech Republic,Artichokes,0
2008,Czech Republic,Other leafy or stalked vegetables n.e.c.,0.28
2008,Czech Republic,Vegetables cultivated for fruit (including melons),0.64
2008,Czech Republic,Tomatoes,0.3
2008,Czech Republic,Tomatoes for fresh consumption,0
2008,Czech Republic,Tomatoes for processing,0
2008,Czech Republic,Tomatoes - under glass or high accessible cover,0
2008,Czech Republic,Cucumbers,0.1
2008,Czech Republic,Cucumbers - under glass or high accessible cover,0
2008,Czech Republic,Gherkins,0.24
2008,Czech Republic,Eggplants,0
2008,Czech Republic,Courgettes and marrows,0
2008,Czech Republic,Gourds and pumpkins,0
2008,Czech Republic,Muskmelons,0
2008,Czech Republic,Watermelons,0
2008,Czech Republic,Peppers (capsicum),0
2008,Czech Republic,Peppers (capsicum) - under glass or high accessible cover,0
2008,Czech Republic,Other vegetables cultivated for fruit n.e.c.,0
2008,Czech Republic,"Root, tuber and bulb vegetables",3.02
2008,Czech Republic,Carrots,0.6
2008,Czech Republic,Onions,2.07
2008,Czech Republic,Shallots,0
2008,Czech Republic,Beetroot,0
2008,Czech Republic,Celeriac,0.3
2008,Czech Republic,Radishes,0
2008,Czech Republic,Garlic,0.05
2008,Czech Republic,"Other root, tuber and bulb vegetables n.e.c.",0
2008,Czech Republic,Fresh pulses,1.31
2008,Czech Republic,Fresh peas,1.31
2008,Czech Republic,Fresh beans,0
2008,Czech Republic,Other fresh pulses n.e.c.,0
2008,Czech Republic,Other fresh vegetables n.e.c.,2.57
2008,Czech Republic,Strawberries,0.7
2008,Czech Republic,Strawberries - under glass or high accesible cover,0
2008,Czech Republic,Flowers and ornamental plants (excluding nurseries),0
2008,Czech Republic,Seeds and seedlings,0
2008,Czech Republic,Other arable land crops n.e.c.,0
2008,Czech Republic,Fallow land,0
2008,Czech Republic,Permanent grassland,0
2008,Czech Republic,Permanent crops,0
2008,Czech Republic,Permanent crops for human consumption including those from kitchen gardens,37.83
2008,Czech Republic,Permanent crops for human consumption,0
2008,Czech Republic,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",17.51
2008,Czech Republic,Pome fruits,0
2008,Czech Republic,Apples,9.95
2008,Czech Republic,Apples for fresh consumption,9.95
2008,Czech Republic,Apples for processing,0
2008,Czech Republic,Pears,0.58
2008,Czech Republic,Pears for fresh consumption,0.58
2008,Czech Republic,Pears for processing,0
2008,Czech Republic,Other pome fruits n.e.c.,0
2008,Czech Republic,Stone fruits,6.73
2008,Czech Republic,Peaches and nectarines,0
2008,Czech Republic,Peaches,0.98
2008,Czech Republic,Nectarines,0
2008,Czech Republic,Peaches and nectarines for processing,0
2008,Czech Republic,Apricots,1.43
2008,Czech Republic,Cherries,2.83
2008,Czech Republic,Sour cherries,0
2008,Czech Republic,Sweet cherries,0
2008,Czech Republic,Plums,1.49
2008,Czech Republic,Other stone fruits n.e.c,0
2008,Czech Republic,Fruits from subtropical and tropical climate zones,0
2008,Czech Republic,Figs,0
2008,Czech Republic,Kiwis,0
2008,Czech Republic,Avocados,0
2008,Czech Republic,Bananas,0
2008,Czech Republic,Other fruits from subtropical and tropical climate zones n.e.c.,0
2008,Czech Republic,Berries (excluding strawberries),1.44
2008,Czech Republic,Currants,1.4
2008,Czech Republic,Blackcurrants,0.35
2008,Czech Republic,Redcurrants,1.05
2008,Czech Republic,Raspberries,0.03
2008,Czech Republic,Blueberries,0
2008,Czech Republic,Other berries n.e.c.,0.01
2008,Czech Republic,Gooseberries,0.01
2008,Czech Republic,Nuts,0.25
2008,Czech Republic,Walnuts,0.25
2008,Czech Republic,Hazelnuts,0
2008,Czech Republic,Almonds,0
2008,Czech Republic,Chestnuts,0
2008,Czech Republic,Other nuts n.e.c.,0
2008,Czech Republic,Citrus fruits,0
2008,Czech Republic,Oranges,0
2008,Czech Republic,Navel oranges,0
2008,Czech Republic,White oranges (blancas),0
2008,Czech Republic,Blood oranges (sanguines),0
2008,Czech Republic,Others oranges n.e.c,0
2008,Czech Republic,Small citrus fruits,0
2008,Czech Republic,Satsumas,0
2008,Czech Republic,Clementines,0
2008,Czech Republic,Other small citrus fruits (including hybrids) n.e.c.,0
2008,Czech Republic,Lemons and acid limes,0
2008,Czech Republic,Yellow lemons,0
2008,Czech Republic,Acid limes,0
2008,Czech Republic,Pomelos and grapefruit,0
2008,Czech Republic,Other citrus fruits n.e.c.,0
2008,Czech Republic,Grapes,16.4
2008,Czech Republic,Grapes for wines,16.4
2008,Czech Republic,Grapes for wines with protected designation of origin (PDO),0
2008,Czech Republic,Grapes for wines with protected geographical indication (PGI),0
2008,Czech Republic,Grapes for other wines n.e.c. (without PDO/PGI),0
2008,Czech Republic,Grapes for table use,0
2008,Czech Republic,Grapes for raisins,0
2008,Czech Republic,Grapes for other purposes n.e.c.,0
2008,Czech Republic,Olives,0
2008,Czech Republic,Olives for table use,0
2008,Czech Republic,Olives for oil,0
2008,Czech Republic,Other permanent crops for human consumption n.e.c.,0
2008,Czech Republic,Nurseries,0
2008,Czech Republic,Other permanent crops,0
2008,Czech Republic,Kitchen gardens,0
2008,Czech Republic,Cultivated mushrooms,0
2008,Czech Republic,Champignons,0
2008,Czech Republic,Other cultivated mushrooms n.e.c.,0
2008,Denmark,Utilised Agricultural Area,0
2008,Denmark,Arable land,0
2008,Denmark,Cereals for the production of grain (including seed),1503.3
2008,Denmark,Cereals (excluding rice) for the production of grain (including seed),1503.3
2008,Denmark,Wheat and spelt,638.2
2008,Denmark,Common wheat and spelt,638.2
2008,Denmark,Common winter wheat and spelt,628.6
2008,Denmark,Common spring wheat and spelt,9.6
2008,Denmark,Durum wheat,0
2008,Denmark,Rye and winter cereal mixtures (maslin),28.9
2008,Denmark,Rye,28.9
2008,Denmark,Winter cereal mixtures (maslin),0
2008,Denmark,Barley,717.3
2008,Denmark,Winter barley,129
2008,Denmark,Spring barley,588.3
2008,Denmark,Oats and spring cereal mixtures (mixed grain other than maslin),83.7
2008,Denmark,Oats,74.5
2008,Denmark,Spring cereal mixtures (mixed grain other than maslin),9.2
2008,Denmark,Grain maize and corn-cob-mix,0
2008,Denmark,Triticale,35.1
2008,Denmark,Sorghum,0
